class,050A,052A,059A,064A,065A,074A,086A,095A,103A,109A,112A,113A,114A,121A,122A,126A,130A,133A,138A,141A,142A,145A,148A,149A,155A,157A,163A,165A,166A,168A,229A,233A,234A,237A,238A,239A,249A,250A,252A,253A,254A,256A
Clostridium_sensu_stricto_1,0,0,1,4,0,15,0,0,13,485,0,0,10,61,18,11,0,58,1187,12,12,0,0,0,0,47,62,23,22,7,0,0,0,0,0,0,87,45,28,25,8,61
Enterococcus,96,6,0,106,0,42,118,62,82,0,0,0,0,0,0,0,0,0,0,0,0,0,775,252,0,0,253,51,941,429,169,214,53,377,3360,537,53,14,5,0,5,905
Enterorhabdus,0,0,0,0,0,5,5,0,0,88,55,52,80,91,84,41,81,9,8,49,22,45,0,78,50,17,23,26,26,40,0,0,0,0,0,0,88,0,11,0,0,0
Escherichia_Shigella,6763,4264,7327,51,3655,15,8152,5932,86,32,0,8,28,18,14,14,43,7,9,3883,5938,4579,4365,1754,7063,3395,3202,5,0,11,9613,2053,4522,1007,796,501,920,376,111,27,1645,6407
GCA_900066575,0,0,0,0,0,0,0,5,0,0,4,2,12,0,7,0,12,8,0,0,12,0,0,31,2,0,31,14,53,7,0,0,0,36,0,0,6,17,20,15,54,0
Intestinimonas,0,11,8,0,0,0,0,0,0,10,19,10,20,5,3,0,64,88,7,44,0,53,20,29,0,0,37,55,14,6,0,0,0,2,0,35,0,40,0,38,236,0
Lachnoclostridium,0,0,0,27,0,5,0,0,0,115,93,92,261,42,62,100,536,286,75,35,0,12,23,60,7,23,92,87,167,100,0,21,25,328,372,361,56,40,27,196,82,0
Lachnospiraceae_NK4A136_group,209,296,56,12,17,13,36,96,10,581,483,550,688,598,337,311,3118,3182,914,15,35,17,248,1575,66,102,468,165,106,130,0,848,888,228,148,1080,5,11,10,201,145,0
Lachnospiraceae_UCG_006,0,0,0,0,0,0,0,52,0,3,0,3,28,1,4,0,71,44,19,0,52,0,87,6,8,0,0,45,8,12,0,0,0,32,0,0,0,11,0,0,0,0
Lactobacillus,11582,13908,11369,18100,15111,15294,10121,10497,16344,6353,7611,10023,7971,7777,8254,10240,3754,3953,7602,8272,10340,7913,12358,10726,7797,5852,8839,4820,8195,11020,8304,8644,6904,1340,7800,11940,5927,5307,5460,5666,5300,7813
Marvinbryantia,0,0,0,0,0,0,0,34,0,60,66,35,80,75,83,49,38,37,16,14,12,30,0,202,0,9,44,15,99,31,0,0,0,0,0,0,110,24,24,0,0,0
Mucispirillum,0,0,0,0,0,0,0,0,0,52,15,15,19,16,7,5,324,88,39,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,27,0,1,0,0,0
Muribacter,62,49,25,436,254,571,53,17,1184,0,0,0,0,0,0,0,0,0,0,11,192,0,406,31,20,33,45,11,160,273,300,69,66,14,115,601,0,0,0,0,0,689
Muribaculum,0,0,0,0,0,69,0,0,0,134,92,94,0,0,0,0,0,142,109,892,163,306,0,0,893,0,138,74,984,1201,0,16,0,0,0,0,0,0,0,0,11,0
Not_Assigned,0,20,149,388,82,791,79,1829,0,7838,7315,5548,7288,7841,7826,6217,6827,6549,5226,5150,1996,5197,76,3534,2370,7974,3269,9669,6752,5119,0,3080,4072,9792,4097,2698,5390,3652,4328,7605,4779,279
Odoribacter,0,0,0,0,0,0,0,0,0,0,0,0,319,194,188,281,295,423,293,0,0,0,0,0,0,138,0,319,0,0,0,0,0,0,0,0,367,347,2164,1005,1107,0
Oscillibacter,0,0,0,0,0,0,0,81,0,25,29,35,116,30,35,9,299,213,75,31,0,10,0,22,77,157,65,116,103,18,0,21,22,14,101,36,16,26,80,107,91,0
Parabacteroides,0,0,0,0,0,0,0,0,0,37,16,8,152,8,85,14,0,110,10,1,0,3,0,0,0,0,0,69,916,0,0,0,3,0,0,0,1197,2353,747,0,243,0
Parasutterella,0,0,0,0,0,90,0,0,0,65,17,18,37,48,73,51,0,7,86,0,0,0,0,6,0,5,151,0,0,0,0,0,0,0,0,0,130,248,39,17,26,0
Phyllobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,6,0,4,5,2,6,1,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0
Prevotellaceae_UCG_001,0,0,0,0,0,0,0,0,0,0,0,0,632,482,667,419,456,401,517,0,0,0,0,0,31,53,3,22,30,4,0,8,18,0,12,0,90,139,59,156,148,0
Pseudomonas,0,0,0,15,13,15,0,1,47,1,1,0,8,3,0,0,0,5,0,10,6,3,4,4,2,10,0,9,6,15,0,0,0,0,0,0,0,0,0,0,0,0
Rikenellaceae_RC9_gut_group,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,722,593,0,0,0,0,0,69,613,1631,0,0,174,0,2,251,0,377,0,918,859,1474,750,770,0
Romboutsia,0,0,0,0,0,0,0,0,24,378,0,0,5,39,48,56,0,97,149,65,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,56,27,19,0,0,13
Roseburia,0,0,0,0,0,6,0,0,0,175,78,72,66,45,51,74,729,353,132,0,0,3,19,107,0,0,1,114,39,109,0,76,0,4,0,0,128,104,218,153,146,0
Ruminiclostridium,0,18,0,0,0,0,0,0,0,46,69,63,136,35,2,23,598,247,71,96,0,19,0,46,174,158,51,14,100,4,0,0,0,121,15,104,2,0,24,103,20,0
Ruminiclostridium_5,0,0,0,0,0,0,0,5,0,4,20,7,43,2,4,0,122,158,30,0,0,1,0,4,5,15,4,7,5,4,0,0,0,10,0,0,9,18,8,59,0,0
Ruminiclostridium_9,0,0,0,0,0,7,63,174,0,22,31,14,48,9,18,13,77,132,36,0,0,52,0,12,82,72,92,125,163,107,0,0,0,34,282,0,4,0,13,113,7,0
Staphylococcus,0,0,18,0,0,16,17,17,3,0,0,0,0,0,0,0,3,0,0,58,37,20,15,14,149,28,38,0,0,0,0,44,14,60,0,72,13,2,22,5,5,2046
Streptococcus,430,565,189,0,0,1606,498,254,1348,1,3,0,0,5,7,0,0,3,5,150,279,72,737,335,102,39,372,64,81,218,744,802,661,13,741,1090,296,190,403,437,320,810
Turicibacter,0,0,0,0,0,0,0,0,1,256,0,45,4,667,353,213,0,215,340,68,14,0,1,3,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10
