"class","050B","052B","059B","064B","065B","074B","076B","086B","095B","103B","109B","112B","113B","114B","121B","122B","126B","130B","133B","138B","141B","142B","145B","148B","149B","155B","157B","163B","165B","166B","168B","229B","233B","234B","237B","238B","239B","249B","250B","252B","253B","254B","256B"
"Phyllobacterium"," 17"," 16"," 31","  6"," 34","204"," 59"," 26"," 44"," 16","  0","  0","  2","  2","  3","  0","  0","  0","  0","  0"," 17"," 11"," 17"," 11"," 14"," 47","  3"," 11"," 11","  7"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Prevotellaceae_UCG_003"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","30"," 7","26","36"," 1"," 6"," 0"," 7"," 9"," 6"," 2"
"Pseudomonas"," 42"," 47"," 25","  4"," 22","495"," 71"," 29"," 34","204","  2","  6","  2","  2","  3","  2","  1","  0","  2","  0"," 55","136","100","161"," 99","149","126"," 29"," 52"," 32"," 59","174","266"," 49","185","116"," 46","  0","  0","  1","  0","  0","  0"
"Rikenellaceae_RC9_gut_group"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 2"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 5"," 0"," 0","53","15","19","37"," 4"," 5"," 5"," 3","18","13"," 0"
"Rodentibacter","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","104"," 33"," 50"," 59"," 36"," 20"," 70"," 90"," 47"," 82"," 25"," 41"
"Romboutsia"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","12"," 0"," 2"," 1","53","16","43"," 4"," 4","39"," 7"," 0"," 3"," 0"," 0"," 0"," 4"," 0"," 4"," 0"," 0"," 0","77","25","52","60","12","14"," 4"," 6"," 9"," 4"," 2"
"Roseburia"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 2"," 1"," 0"," 4"," 0"," 3"," 4","10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 3"," 9"," 2"," 0"," 0"," 0"
"Ruminiclostridium_5","0","0","0","0","0","0","0","0","0","0","5","0","0","0","3","0","0","2","9","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","3","2","0","0","0"
"Ruminobacter"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2","45"," 0"," 1"," 6","19"," 3"," 6"," 6"," 8","22","16"," 8"
"Ruminococcaceae_UCG_005","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 90","111"," 61"," 83","110"," 19"," 59"," 46"," 33"," 72"," 17"," 11"
"Ruminococcaceae_UCG_010"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0","23","38"," 4","30","42"," 8"," 9","11"," 4","10"," 2"," 2"
"Ruminococcaceae_UCG_014"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8","10","10","13"," 9"," 2"," 6"," 0"," 0"," 6"," 1"," 0"
"Ruminococcus_2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","55"," 1"," 9","32"," 7"," 0"," 3"," 5"," 0"," 5"," 0"
"Solibacillus"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","33","56","13","13","48","13"," 0"," 2"," 2"," 0"," 0"," 0"
"Staphylococcus","  0","  0"," 12","  0","  0"," 10","  3","  4"," 11","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0"," 12","  3","  2","  4"," 27"," 38"," 33"," 38","  0","  0","  0"," 26","108"," 14"," 18"," 27","  9"," 20"," 30"," 26"," 13"," 22","191"
"Streptococcus"," 41","120","123","  3","  4","159"," 68","109"," 26","211","  8","  4","  9","  5","  3","  0","  0","  3","  3","  0","130"," 65"," 51"," 65"," 93"," 72"," 54"," 44"," 69"," 50"," 44"," 74"," 36","205","147","326","115","235","346","355","420","134","136"
"Succinivibrio","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 35","111"," 13"," 27"," 39"," 18"," 49"," 35"," 39"," 66"," 55"," 18"
"Treponema_2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0","15","66","20","33","44","15"," 8"," 5"," 0","11","20"," 0"
"Turicibacter","  0","  2","  0","  0","  0","  8","  0","  0","  6","  0"," 18","  5"," 27","  2","194","214","201","  8"," 65"," 38","  0","  6","  0"," 40"," 26","  0","  0","  1","  0","  1","  0"," 22"," 43","  3","  7"," 19","  8","  0","  7","  0","  0","  4","  3"
"Vagococcus"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 3","53","47","12","17","28"," 9"," 0"," 0"," 2"," 0"," 5"," 0"
"Veillonella","0","0","0","0","1","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","9","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Weissella","  0","  0","  0","  0","  0","  0","  1","  2","  1","  5","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  7","  3","  0","  0","  5","  4"," 15","  1","  0","  0","  0"," 96","251"," 43"," 56"," 78"," 23"," 13","  2","  3","  6","  0","  3"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P11","P14","P14","P14","P14","P14","P14"
"sample","050B","052B","059B","064B","065B","074B","076B","086B","095B","103B","109B","112B","113B","114B","121B","122B","126B","130B","133B","138B","141B","142B","145B","148B","149B","155B","157B","163B","165B","166B","168B","229B","233B","234B","237B","238B","239B","249B","250B","252B","253B","254B","256B"
