pathway	140A	146A	151A	156A	158A	161A	162A	167A	258A	259A	260A	261A	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B
PWY-6891	4956.123654035021	3690.1407166839817	3491.4744070054653	4764.702382476337	4193.557120469608	3506.272441400244	2850.798847466069	404.4207431041384	3100.693568179729	1332.3272701684796	1452.616311507753	1009.1086593982752	530.901742505627	2148.5652868357324	417.0249509833599	544.5167492044995	216.0708835702539	966.0781949297314	301.0420342109687	43.57974141381487	3354.9862301584644	1152.9792838852325	1150.6661506776195	851.7696677985865
PWY-6892	9308.966049558268	5484.500070267138	5228.260267530791	8045.38678619312	8675.534395084389	11242.024561251865	8770.332502712794	9797.881886842864	7812.463676948572	11487.422817003737	11673.515785802896	12024.333005512444	738.8492631016509	2548.4628184452404	882.4481208458171	640.6695650387126	253.84573012001016	1175.03974217422	214.1522479946319	217.3164488568353	10030.122845499454	1442.7033504579108	2822.9687489314115	2082.528046655428
PWY-6895	10898.94486590625	7406.672568013255	4571.562889356067	6540.227314438363	7441.232701667272	8773.004779418396	6194.334079559867	1705.16050820335	9222.418822624271	4854.380663229258	5206.200984218203	4009.3723501308746	1216.315709342736	2688.297293176445	963.6884865409212	886.732160921609	580.8275832412464	1583.941790301392	711.076564881604	168.28839833909683	7599.110284288745	1361.391660915821	2102.1282326135383	1365.1215111228205
PWY-6897	15105.649140559946	9671.21612510489	5062.75330383441	7037.897072581985	9238.274758035825	12947.110239939864	8254.394421246849	7916.485373391171	18070.00853017321	13992.029494511044	13755.995115958322	14863.60434921292	1942.141808004432	2920.230608278166	1492.4963424862462	1241.3840234762076	1019.4930167922838	2007.138690148378	1173.929871910389	657.8099214294099	11321.081569057966	2039.386658329508	3257.1700320926275	2184.059489188552
PWY-6901	20817.5884171007	17303.009205110127	13215.88144275988	14565.282999451812	13082.404430225602	25435.902080767835	16127.158516873938	16179.510138739426	21749.38539520053	17980.61111721094	16231.1347048404	14982.993116658829	3300.548580822708	6529.837951410007	3406.4843327296658	2074.5902250824847	1671.315609073634	4766.53046090019	2322.8124328396866	1416.3703393043372	11671.514680426975	2524.044055883084	5563.618528178978	3346.2061386863406
PWY-6906	34.72900428998529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.17944937112496	0.0	80.86380475240912	0.0	34.82103184758824	0.0	33.82137473877142	0.0	497.236662191276	14.543570377947365	130.61597919264588	87.04891373478746
PWY-6944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.759492195703167	0.0	0.0	0.0
PWY-6948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6969	17822.60533889653	13133.067712007887	8574.898984138574	10775.171857972373	11301.490712376612	16846.037603117533	10604.169323134443	2056.977963727956	22235.886293839743	13890.754039289348	11894.035481454535	11189.470698032774	2004.417048608689	3331.078698812053	1644.8450753321138	1212.267428329047	1229.2531797916922	2234.935222151857	1282.7439006013692	657.5613459522687	14958.803537717504	2780.4737745029984	4304.966790042027	2863.281620160772
PWY-6992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7003	12608.717563829648	12803.605956243468	13321.038845109617	13707.658703973006	10311.881922392498	10983.0819706888	8885.242764394221	4625.935826841545	3872.659894713264	10603.50139176016	10230.198015961758	5672.631625624345	1823.706953247772	4850.058326381857	1319.2663726413948	1332.0255027904254	537.3394618936545	2193.319654998609	776.6502909838777	531.5516472595122	8875.72285162706	2454.9655094192017	4687.951859538312	3521.601878204693
PWY-7007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.85385613616128	0.0	0.0	79.01588342777	62.88046266715799	0.0	207.7150399253276	0.0	19.91785490036633	21.836571805466235
PWY-7013	739.9527078900611	537.5497070824389	2805.3273558758624	953.4847709348392	691.0835145660787	6360.175344927528	6345.947601493266	1117.4505572350065	0.0	3380.5502312359454	2789.8209853027524	1486.2517227928747	52.22022213554586	149.75780247403156	0.0	0.0	83.44943046952906	3442.8039951407977	28.24765889283109	107.94835359368484	1211.724876180501	133.81554374444465	301.0075466857534	113.88929089609292
PWY-7031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.770228896340573	4.8	0.0	0.0
PWY-7046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
