function	050A	052A	059A	064A	065A	073A	074A	075A	081A	083A	085A	086A	088A	095A	097A	103A	105A	106A	107A	215A	226A	227A	228A	229A	233A	234A	235A	237A	238A	239A
EC:2.7.7.58	1810.5	1996.33	4217.92	863.4300000000001	2070.6	19.75	0.0	19.25	418.0	669.0	591.74	3421.83	1388.75	3453.87	1074.36	42.0	543.17	19.0	12.75	2.75	3239.0	3369.08	3434.67	3168.25	642.58	1724.83	1624.75	423.25	382.75	176.33
EC:2.7.7.59	1819.33	2015.5	4228.75	1024.26	2186.93	730.5899999999999	384.83	193.75	583.0799999999999	840.5	1409.07	3440.33	1559.84	3462.87	1118.36	527.83	913.5	305.59000000000003	341.16	67.75	3626.66	3600.08	3485.5	3359.75	1031.74	1840.49	2387.42	440.75	1117.08	973.99
EC:2.7.7.6	54000.4	121953.5	120358.0	135358.4	140991.72	177510.36	154738.38	165042.02000000002	126243.52	115953.5	102298.51	86978.36000000002	133467.06	118618.08	123141.94999999998	144671.6	136792.03	133987.96	156464.62	76188.26000000001	92768.66	68002.32	61062.0	61848.6	71105.22	71591.34999999999	94427.68	69173.18	103443.47	88291.28
EC:2.7.7.60	2732.6	4197.0	5305.75	1903.6000000000004	2439.93	14387.09	7292.839999999999	7400.379999999999	3030.88	3485.5	2949.69	4764.59	7902.14	7322.77	5527.74	3671.9	4358.82	4509.99	3744.53	20089.19	4688.79	4429.08	3718.5	3646.15	8943.18	9655.9	2488.42	20216.67	12811.1	7204.15
EC:2.7.7.61	2278.33	3109.5	4825.75	1001.26	2307.93	4548.59	4151.83	3135.75	2665.83	2391.5	2056.07	6716.33	4760.59	4310.87	2408.86	3415.83	2896.5	2521.34	3256.41	171.75	3548.41	3878.58	3571.5	3334.75	1082.24	2106.49	2389.42	775.75	1449.08	1445.9899999999998
EC:2.7.7.62	1998.0	2557.0	4569.75	1647.43	2282.93	4982.25	1770.97	1911.75	968.0	1132.0	736.74	3583.0	2957.25	5286.54	2597.53	206.0	1071.0	813.2	118.5	1576.75	3909.73	3760.15	3398.0	3090.25	1005.75	2203.5	1634.75	4718.65	4429.92	1641.83
EC:2.7.7.63	13276.77	30011.83	29723.92	32940.770000000004	34914.6	40022.25	37000.67	39205.88	30904.05	28842.5	25035.86	19248.090000000004	32002.8	28625.77	29223.07	35631.07	33502.49	32783.05	38744.12	9898.69	23959.93	17605.18	15526.67	16493.65	14218.02	15169.24	24698.75	11621.97	21212.43	20484.83
EC:2.7.7.65	5431.5	5960.99	12595.26	1807.86	6222.37	83.25	58.0	101.75	850.0	1338.0	1258.23	10222.49	4226.75	10077.82	2175.2200000000003	270.0	1665.51	131.0	72.25	8.25	9705.25	10115.24	10304.01	9518.75	1933.24	5174.49	4876.25	1272.13	1161.25	528.99
EC:2.7.7.66	0.0	0.0	0.0	1616.29	44.86	12.0	29.0	22.0	789.0	1249.5700000000002	1135.98	0.0	40.0	453.72	2010.86	74.0	18.0	37.0	17.0	0.0	20.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.7.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.7.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.7.7	123560.0	276978.5	275422.5	306412.0	319689.3	410762.4	351352.2	374417.3	285571.3	263229.0	232487.15	201849.9	305301.9	274216.7	282529.53	326221.0	310093.94999999995	303814.8	352914.8	204784.9	213761.37	157361.0	141192.0	142828.1	177809.30000000002	177412.75000000003	214978.2	175445.0	249230.05	204427.0
EC:2.7.7.70	1819.33	2015.5	4228.75	1024.26	2184.93	58.59	235.83	250.75	579.8299999999999	811.5	1409.07	3440.33	1551.59	3462.87	1119.03	523.83	913.5	304.34000000000003	340.41	67.75	3634.16	3551.58	3493.5	3345.75	1034.74	1840.49	2361.42	439.75	1106.08	973.99
EC:2.7.7.71	0.0	48.0	100.0	0.0	129.0	94.0	8.0	64.0	355.0	336.0	26.0	0.0	105.0	238.0	267.0	0.0	0.0	20.0	0.0	106.0	33.0	321.0	86.0	0.0	56.0	101.0	34.0	348.0	352.0	476.0
EC:2.7.7.72	13500.1	30446.5	30068.25	33834.6	35245.93	43331.59	38495.87	41177.380000000005	31548.63	28930.0	25627.44	21728.090000000004	32823.89	28957.27	29890.4	36167.9	34017.07	33539.74	39122.28	13154.19	22963.46	16917.58	15252.5	15434.15	14068.68	14961.15	23570.42	10918.17	23246.18	21511.82
EC:2.7.7.73	1810.5	1996.33	4217.92	863.4300000000001	2070.6	19.75	0.0	76.25	436.0	669.0	599.74	3421.83	1391.75	3453.87	1080.36	81.0	577.17	89.0	44.75	100.75	3294.0	3377.48	3448.67	3168.25	665.58	1765.83	1629.75	1971.75	386.75	223.33
EC:2.7.7.74	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
EC:2.7.7.75	1819.33	2015.5	4228.75	993.26	2158.93	46.59	206.83	171.75	574.8299999999999	809.5	1374.07	3440.33	1511.59	3460.87	1106.36	457.83	895.5	267.34000000000003	323.41	67.75	3551.41	3554.58	3493.5	3334.75	1029.24	1840.49	2361.42	430.75	1096.08	971.99
EC:2.7.7.76	1783.5	2104.0	4282.25	1521.43	2226.93	1935.75	880.0	1205.25	876.0	1081.0	682.74	3554.5	1818.25	4176.54	2196.86	181.0	588.5	396.0	98.75	580.75	3532.25	3547.75	3388.0	3070.25	719.25	1866.5	1614.75	1472.75	1542.75	1036.0
EC:2.7.7.77	1819.33	2015.5	4258.75	1034.26	2186.93	822.5899999999999	448.83	248.75	895.8299999999999	1239.5	1994.07	3469.33	1819.59	3495.87	1175.03	559.83	913.5	347.34000000000003	377.41	134.75	3629.16	3584.98	3495.5	3359.75	1087.74	1861.49	2384.42	566.25	1109.08	1079.99
EC:2.7.7.8	2518.1	3680.0	5177.25	1844.6000000000004	2408.93	13198.59	6764.169999999999	6244.88	2952.88	3450.5	2939.69	4708.09	7336.64	6984.77	4964.07	3620.9	3770.32	4072.99	3690.53	16112.19	6143.79	5569.280000000001	4019.5	4637.75	8644.68	9226.9	4347.42	15857.17	12557.43	6576.62
EC:2.7.7.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.7.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	8.0	0.0	3.0	0.0	5.0	2.0	4.0	0.0
EC:2.7.7.83	214.5	477.0	106.5	9.0	31.0	311.0	457.0	1086.5	70.0	35.0	0.0	47.5	306.5	204.0	400.67	25.0	407.5	398.0	17.0	4223.0	66.0	154.0	0.0	0.0	1141.0	1403.0	0.0	2761.0	1112.0	1910.0
EC:2.7.7.85	11680.77	28463.0	25861.5	32820.34	33061.0	42597.5	38131.04	40987.63	30984.8	28091.5	24236.37	18282.76	31233.3	25509.4	28800.54	35705.07	33137.57	33340.4	38851.62	13118.44	19387.13	13324.4	11755.0	12083.4	13033.94	13120.66	21179.0	10515.42	22125.1	20593.83
EC:2.7.7.87	13500.1	30513.0	30102.25	33837.6	35247.93	44857.59	38746.17	41253.880000000005	31570.63	29088.5	25629.69	21750.090000000004	33547.39	29862.77	31003.07	36167.9	34280.32	33539.74	39125.78	21519.19	23240.79	17016.58	15262.5	15469.15	19016.68	18989.9	23608.42	18106.17	26728.43	22324.82
EC:2.7.7.9	15113.77	31909.83	33908.67	34107.369999999995	37141.53	39435.84	37158.37	39478.46	31777.88	28976.5	26068.35	27301.08	32743.39	30505.140000000003	29420.93	36397.57000000001	34207.41	33024.39	39482.45	6183.78	25989.34	19758.160000000003	18597.17	18610.4	13256.6	14622.64	25159.17	5279.9400000000005	19981.09	19044.32
EC:2.7.8.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.12	0.0	0.0	30.0	10.0	0.0	101.0	64.0	53.0	332.0	403.0	641.0	29.0	283.0	38.0	56.5	32.0	0.0	43.0	37.0	1663.0	8.0	7.8	0.0	10.4	53.0	441.0	23.0	147.0	0.0	264.2
EC:2.7.8.13	13500.1	30481.0	30085.25	33837.6	35247.93	44857.59	38746.17	41253.880000000005	31567.88	29088.5	25629.69	21750.090000000004	33541.64	29847.77	30988.4	36167.9	34287.32	33633.99	39126.53	21487.19	23263.79	17026.08	15270.5	15469.15	19019.68	18991.9	23613.42	18071.17	26732.43	22272.82
EC:2.7.8.14	0.0	0.0	0.0	0.0	0.0	57.0	12.0	44.0	17.0	2.5	26.5	10.0	148.5	0.0	0.0	0.0	0.0	0.0	0.0	1596.0	0.0	0.0	0.0	0.0	0.0	420.0	0.0	60.0	0.0	151.0
EC:2.7.8.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.20	24284.04	56682.33	54555.92	64986.11000000001	67748.59999999999	69293.25	67990.23999999999	73163.51	59452.6	53777.5	47174.98	38551.350000000006	57322.35	50133.17	54548.1	68184.14	63686.31	61656.2	74415.48999999999	11579.13	39066.4	27636.28	26477.67	26319.05	22621.46	22487.65	42045.75	9803.89	33703.11	33655.83
EC:2.7.8.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.8.26	1998.0	2557.0	4569.75	1647.43	2282.93	4982.25	1770.97	1911.75	968.0	1134.0	736.74	3583.0	2957.25	5301.54	2597.53	206.0	1071.0	806.6	118.5	1478.75	3924.53	3766.15	3412.0	3090.25	1005.75	2162.5	1640.75	4626.45	4435.92	1592.83
