function	050B	052B	059B	064B	065B	073B	074B	075B	076B	081B	083B	085B	086B	088B	095B	097B	103B	105B	106B	107B	215B	226B	227B	228B	229B	233B	234B	235B	237B	238B	239B
EC:2.8.4.4	9562.58	9591.59	3532.34	986.67	1470.16	2950.17	1303.5300000000002	2453.2200000000003	1078.75	2473.04	5319.1	2669.01	3495.62	1194.58	5941.38	3547.57	2608.41	1337.56	1224.23	949.68	5663.110000000001	9514.3	3888.65	3456.75	1911.32	3264.0	2982.76	7278.43	6262.51	7091.54	2024.98
EC:2.8.4.5	241.0	387.0	505.0	67.4	537.5	793.33	475.55	663.0	738.33	1214.0	1001.6	921.0	495.6	856.5	928.17	373.0	219.75	132.0	391.82	370.3	4330.0	7051.3	2439.42	1946.32	1072.07	2503.25	1548.77	5463.18	4065.34	5375.77	1172.65
EC:2.9.1.1	9055.91	8767.59	3164.01	830.67	979.33	1035.25	422.16	1662.09	160.0	1740.53	4245.57	2139.76	3050.07	533.9	6637.240000000001	5816.339999999999	1893.56	851.96	702.49	472.58	1283.48	2946.51	1464.8200000000002	1248.6799999999998	726.6500000000001	793.26	1344.16	1676.25	1715.15	1881.26	712.1700000000001
EC:3.1.1.1	0.0	61.0	232.33	2.0	89.0	233.33	101.0	180.0	134.75	109.0	797.25	547.25	64.83	245.75	363.84	608.83	71.33	58.0	122.0	84.0	1445.33	2649.06	930.51	580.6700000000001	474.0	941.83	604.84	1600.5499999999995	1328.01	1654.4	520.4200000000001
EC:3.1.1.11	8936.91	8492.59	2606.17	8.8	23.5	29.75	24.5	40.75	40.5	82.5	387.59	10.25	2960.08	125.5	6063.400000000001	5022.549999999999	622.14	28.4	72.5	16.85	701.02	1874.39	632.15	733.0500000000001	301.63	609.79	978.03	837.6800000000001	706.88	869.28	324.45
EC:3.1.1.15	0.0	3.0	4.0	0.0	5.0	21.0	12.29	27.0	0.0	0.0	15.0	0.0	0.0	14.0	42.0	0.0	16.0	8.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:3.1.1.17	706.0	1030.0	684.0	207.0	830.0	2313.0	1131.0	1276.0	1350.0	1442.0	1856.37	978.67	694.99	1089.33	2338.99	2796.0999999999995	1351.07	459.0	477.0	464.0	660.5600000000001	1211.5	382.5	578.5	347.0	507.5	257.0	955.67	1111.75	903.74	311.0
EC:3.1.1.22	0.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	11.0	0.0	0.0	14.0	11.0	0.0	16.0	8.0	0.0	0.0	15.0	61.0	6.0	0.0	18.0	11.0	0.0	37.0	47.75	30.0	0.0
EC:3.1.1.24	704.3399999999999	1033.0	659.5	205.2	826.0	2278.0	1165.41	1349.1	1390.09	1507.96	1832.47	983.42	704.71	1073.42	2389.59	2792.4	1423.57	453.0	488.5	459.6	688.98	1286.27	453.91	536.84	340.51	491.83	328.33	1151.17	1116.9	910.15	366.83
EC:3.1.1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:3.1.1.29	25234.58	46398.59	42293.34	63541.67	68354.83	23959.57	5128.4	46258.84	49224.35	30009.370000000003	30246.03	35151.24	47489.48	32653.120000000003	40670.25	50282.77	14824.94	30930.86	4551.61	25621.68	9235.509999999998	17300.59	7989.049999999999	11621.4	3539.2200000000003	5179.09	13391.73	13274.19	16907.25	14196.1	16388.95
EC:3.1.1.3	949.01	1536.0	859.16	289.2	817.5	3345.0	1572.08	1477.8	1406.42	1080.17	2941.68	1330.1	689.7700000000001	1047.92	952.1	956.0	1860.5	822.0	631.57	656.8	1605.52	2235.29	865.7499999999999	1106.84	601.72	1028.3	747.1600000000001	2333.0	2282.02	1916.73	711.24
EC:3.1.1.31	24789.91	44273.59	40747.34	63532.67	68257.33	20192.92	4849.41	45251.34	48330.68	29721.33	29435.43	34733.41	46042.02	30417.45	40157.45	49663.52	14256.09	30315.36	4277.56	25215.08	5204.320000000001	10710.95	5747.5	10044.35	2535.22	2749.42	11715.3	8137.17	13223.839999999998	9285.35	15227.12
EC:3.1.1.32	8969.58	8546.59	2625.17	10.6	56.5	175.34	102.54	82.55	168.17	151.14	344.87	62.59	3044.79	282.7	4888.21	2532.69	358.82	89.4	87.5	45.55	1462.11	2638.2	949.95	842.79	447.76	944.23	1268.16	1451.37	1341.9499999999998	1630.66	518.0
EC:3.1.1.4	8969.58	8546.59	2625.17	10.6	56.5	175.34	102.54	82.55	168.17	151.14	344.87	62.59	3044.79	282.7	4888.21	2532.69	358.82	89.4	87.5	45.55	1462.11	2638.2	949.95	842.79	447.76	944.23	1268.16	1451.37	1341.9499999999998	1630.66	518.0
EC:3.1.1.41	12551.0	29970.0	31292.67	51311.0	54294.67	17281.0	2882.67	35064.67	38864.66	21636.33	20052.0	26209.0	37794.33	25050.67	27580.33	38007.33	10167.0	23965.0	2587.33	19987.0	1783.17	4123.0	2353.5	6997.0	855.0	950.0	7638.0	3484.5	6684.5	4582.0	13425.5
EC:3.1.1.45	18138.74	17309.18	5558.59	84.6	524.0	977.49	497.95	778.3	1050.42	1126.9399999999998	1143.65	792.76	6438.74	863.94	10468.13	5090.169999999999	758.64	91.4	265.75	185.3	971.73	2956.4300000000003	958.58	964.67	348.08	610.67	1631.0	1249.96	729.0699999999999	1029.07	261.5
EC:3.1.1.5	18849.49	18307.18	6178.17	280.6	1296.0	3093.84	1538.62	1995.3	2151.08	2491.16	2606.49	1569.26	6974.37	1822.32	11373.12	5393.129999999999	1743.64	538.8	771.75	634.3	2209.48	4586.4	1715.33	1800.5	834.9200000000001	1480.46	2183.82	2875.74	2350.29	2509.72	770.1700000000001
EC:3.1.1.53	8.0	32.0	102.0	11.8	70.0	289.0	89.5	129.0	183.0	405.0	197.66	32.0	66.33	363.0	193.0	68.58	221.0	108.0	183.0	77.6	2956.18	4502.79	1857.27	1585.62	995.8	2275.74	1282.2	3878.76	3199.3	3938.98	1235.9
EC:3.1.1.57	31.0	45.0	13.0	4.0	24.0	95.0	34.0	54.0	107.0	44.0	59.0	51.0	55.0	56.0	81.0	0.0	9.5	0.0	9.0	7.0	83.0	135.0	67.0	29.0	22.0	77.0	19.0	57.0	49.0	79.0	34.0
EC:3.1.1.61	11182.91	11963.59	4267.67	716.0	2113.5	7625.42	3561.49	3812.75	3814.58	3162.11	5281.879999999999	2394.6800000000003	4797.07	2854.11	6037.59	958.53	3955.75	1784.4	1604.07	1455.25	4261.84	7478.07	2943.51	3054.41	1626.58	2735.31	2434.17	6083.84	6150.9800000000005	5131.1	1685.92
EC:3.1.1.73	31.0	52.0	13.0	4.0	29.0	167.0	46.29	120.8	158.0	140.0	99.0	51.0	55.0	56.0	215.0	0.0	32.0	16.0	36.0	0.8	124.29	203.17	59.25	28.0	75.75	126.17	38.33	133.67000000000002	93.83	113.83	72.0
EC:3.1.1.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.25	0.0	0.0	17.5	0.0	0.0	0.0	0.0	0.0	0.0
EC:3.1.1.75	258.0	315.0	357.0	64.0	447.0	694.0	381.0	612.0	743.0	988.0	587.0	570.0	412.0	655.0	749.0	74.0	125.5	44.0	191.0	123.0	216.0	400.0	153.0	91.0	79.0	176.32999999999998	76.0	333.0	212.0	268.0	103.0
EC:3.1.1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
EC:3.1.1.85	9508.58	9507.59	3467.34	979.27	1363.66	2648.59	1169.3300000000002	2308.2200000000003	878.42	2204.8900000000003	5097.040000000001	2529.6800000000003	3326.39	960.95	5729.88	3528.53	2468.41	1251.56	1007.41	869.88	2470.08	4528.02	2137.35	2248.6	1302.75	1569.12	1976.99	3453.95	3267.86	3592.44	1240.13
EC:3.1.1.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:3.1.11.1	9537.91	9551.59	3484.34	976.67	1392.66	2729.59	1208.49	2370.42	936.75	2203.6000000000004	5125.4400000000005	2580.6800000000003	3366.08	983.95	5728.08	3511.53	2419.41	1211.56	982.41	800.5799999999999	1119.04	2545.5199999999995	1434.4	1546.26	877.32	765.07	1355.66	1791.45	2026.28	1689.17	769.25
EC:3.1.11.2	26671.58	48497.59	43480.34	63950.67	69973.83	28418.49	7308.059999999999	48833.84	51988.1	33598.46	33128.619999999995	38116.83	59946.9	34754.21	42684.08	50633.44	16961.19	31831.86	5571.61	26527.68	10071.65	18512.09	8657.05	12587.9	4163.72	5853.42	13936.73	15014.36	19677.0	15175.43	16909.95
EC:3.1.11.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	12.0	21.0	5.0
EC:3.1.11.5	59218.740000000005	99791.77	85979.02	127867.81	137290.65	45415.25	10528.16	92894.28	97382.19	59928.65	63856.65000000001	70216.83	84972.13	62756.69	85261.51000000001	103038.25	30643.259999999995	62033.98	9069.18	51101.64	13739.669999999998	27684.5	13493.309999999998	21643.960000000003	6189.82	7797.379999999999	25566.27	20982.79	29125.009999999995	22534.48	31420.61
EC:3.1.11.6	50469.16	92797.18	84562.68	127083.34	136665.66	47887.14	10198.6	92430.68	98448.7	59920.16	60496.66	70249.48	94957.64	65231.240000000005	81324.5	100559.04	29542.63	61850.72	9029.97	51249.36	17523.440000000002	32880.68	15536.1	22694.47	6914.58	9702.85	26345.46	25284.710000000003	32927.17	26930.2	32443.9
EC:3.1.12.1	418.0	1999.0	1421.0	0.0	30.0	3591.66	177.0	897.0	767.33	869.0	299.33	1309.67	12405.33	2061.5	234.34	376.0	541.0	558.0	296.57	430.0	1387.46	2441.48	786.6800000000001	603.75	269.5	696.5799999999999	582.6700000000001	1609.38	1430.08	1668.75	383.5
