#NAME	1	2	3	7	8	11	13	14	15	22	23	24	25	30	40	41	42	43	46	47	48	49
Chitinophagaceae	3810.59345	5816.16895	7019.51425	6016.7265	3610.0359	3810.59345	1805.01795	4813.3812	2406.6906	3810.59345	1203.3453	5013.93875	802.2302	0	6417.8416	20256.31255	5615.6114	2807.8057	2406.6906	2005.5755	2807.8057	601.67265
Dyadobacter	1604.4604	3810.59345	1805.01795	3409.47835	3008.36325	3208.9208	601.67265	1403.90285	1002.78775	4211.70855	0	2005.5755	2807.8057	0	1203.3453	6016.7265	401.1151	401.1151	1604.4604	0	0	2005.5755
Pseudacidovorax	3610.0359	1604.4604	4612.82365	2406.6906	0	2807.8057	0	0	1805.01795	2807.8057	2406.6906	1203.3453	2005.5755	0	0	8022.302	2206.13305	0	802.2302	1203.3453	3810.59345	4211.70855
Neisseriaceae	0	802.2302	2607.24815	1403.90285	2206.13305	1002.78775	601.67265	1203.3453	1203.3453	802.2302	0	1403.90285	0	0	0	1604.4604	802.2302	0	200.55755	0	0	1002.78775
Bilophila	802.2302	601.67265	1203.3453	802.2302	0	401.1151	0	401.1151	0	200.55755	200.55755	1002.78775	0	0	601.67265	3409.47835	802.2302	0	1203.3453	601.67265	0	601.67265
Sericytochromatia	601.67265	3409.47835	0	401.1151	0	1403.90285	0	0	1203.3453	2005.5755	1403.90285	2807.8057	1604.4604	0	0	3610.0359	1403.90285	1805.01795	0	200.55755	1403.90285	2005.5755
Chryseobacterium	3810.59345	1604.4604	2206.13305	1203.3453	802.2302	2406.6906	1203.3453	601.67265	601.67265	0	1604.4604	2206.13305	2807.8057	0	1002.78775	6818.9567	2005.5755	601.67265	200.55755	1002.78775	1805.01795	3208.9208
Persicitalea	1203.3453	4211.70855	2406.6906	2607.24815	2807.8057	2206.13305	1203.3453	5415.05385	0	0	200.55755	1403.90285	0	0	0	5415.05385	802.2302	0	1002.78775	200.55755	1604.4604	200.55755
Zoogloea	401.1151	3208.9208	0	0	2206.13305	1203.3453	2807.8057	3810.59345	0	1002.78775	0	601.67265	0	0	0	5816.16895	0	1002.78775	0	0	0	0
Citrobacter	0	2607.24815	802.2302	1403.90285	2206.13305	1002.78775	0	0	1403.90285	0	601.67265	0	0	0	0	2005.5755	0	0	0	0	2206.13305	0
