feature,t-statistic,p-value
V_STARCY,68.5,0.7527250333210989
V_TOMATO,63.0,1.0
V_TOTAL,70.0,0.6822010058691197
valine,67.0,0.8254979107046321
vita_iu,68.0,0.776814004155482
vita_rae,67.0,0.8254979107046321
vita_re,65.0,0.9247190374867695
vitb12,60.0,0.8748624733342836
vitb6,69.0,0.7289914546163012
vitc,63.0,1.0
vitd,64.0,0.9748731531777381
vitd_iu,64.0,0.9748731531777381
vitd2,65.5,0.8996673067642093
vitd3,64.0,0.9748731531777381
vite_iu,61.0,0.9247190374867695
vitk,59.0,0.8254979107046321
water,35.0,0.08321354796087602
wgrain,71.0,0.6366016325636008
xylitol,59.0,0.8254979107046321
zinc,62.0,0.9748731531777381
