"","S1","S2","S3","S4","S10","S11","S12","S13","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S19","S28","S20","S21","S22","S23","S24","S25","S26","S27","S9","S5","S6","S7","S8","S14","S15","S16","S17","S18"
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",227,0,20,329,0,203,0,65,2419,5582,4177,1714,1833,0,130,0,3187,0,0,0,0,47,0,591,2172,924,2611,427,1074,0,112,0,0,1441,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,847,0,1093,5651,773,439,1285,156,137
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides",1216,6727,4777,4697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5479,2560,1528,849,2553,1955,1415,1251,1914,1359
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",1567,2845,2495,1757,2047,1304,3093,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,2367,1281,1346,2219,1913,1251,1619,2324,1793
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus",0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,5,0,10,0,0,0,11,0,0,7,8,19,12,0,0,7,0,0,0,0,0,3505,799,1885,1092,1219,3774,2964,3916,2204,3787,3024,99,482,759,620,937,800,1884,87,0,224,0,0,0,0,0,0,0,0,0,6
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_1",2450,1757,2908,2249,1942,2778,2172,16,561,547,1509,340,355,995,520,2666,635,591,617,171,839,536,23,1662,123,1190,22,584,0,431,35,457,967,0,76,375,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,56,6,6,24,43,0,22,0
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,91,546,288,333,399,1723,365,1114,319,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816,1851,4663,896,4416,2667,1182,4086,2482,2711
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",150,68,0,597,0,0,0,371,3695,5751,3184,3855,2467,0,0,0,0,0,0,0,0,0,0,32,0,1345,0,986,0,0,0,0,139,3053,3281,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,634,0,37,289,0,219,0,0,0,0,0,0,0,0,0,0,0,0,456,0,99,4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3644,0,35,11,63,4646,6470,5978,3013,1827
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium",806,449,1022,898,48,605,526,1048,643,2012,2618,44,1060,4319,2848,1794,1087,953,40,19,0,43,0,0,846,1290,181,138,332,182,0,370,370,644,523,492,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,762,116,296,59,388,52,607,56,80
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,5200,8046,2167,8365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;NA",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,8495,3096,14678,223,859,3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552,623,1071,1341,1360,4569,3471,3546,1670,2588,2665,718,309,1230,993,779,1005,226,112,0,571,0,0,0,0,0,0,0,0,0,0
