"","1913-12","1913-16","1913-4","1913-8","1913-B","1914-12","1914-16","1914-4","1914-8","1914-B","1915-12","1915-16","1915-4","1915-8","1915-B","1916-12","1916-16","1916-4","1916-8","1916-B","1917-12","1917-16","1917-4","1917-8","1917-B","1918-12","1918-16","1918-4","1918-8","1918-B","1919-12","1919-16","1919-4","1919-8","1919-B","1920-12","1920-16","1920-4","1920-8","1920-B","1945-12","1945-16","1945-4","1945-8","1945-B","1947-12","1947-16","1947-4","1947-8","1947-B","1948-12","1948-16","1948-4","1948-8","1948-B","1949-12","1949-16","1949-4","1949-8","1949-B","1951-12","1951-16","1951-4","1951-8","1951-B","1952-12","1952-16","1952-4","1952-8","1952-B"
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4339,5955,0,6872,0,1750,3815,0,5318,0,4246,5406,0,4276,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,9618,0,3712,0,1915,6486,0,3040,0,2819,6781,0,2015,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2",0,0,1412,0,151,0,0,2176,8,5539,0,0,1142,0,0,0,0,5060,0,0,0,0,0,0,6855,0,0,0,0,6660,0,0,190,0,2492,0,0,0,97,0,0,0,176,0,31,20,0,1487,29,1675,8,0,365,168,810,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12104,0,0,0,0,22094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",187,2013,0,0,0,1892,2556,0,0,0,2388,3028,0,0,0,535,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,920,415,0,9,279,365,758,1365,279,120,15,229,12,67,835,37,474,2277,551,1816,510,0,384,0,1176,1243,808,3170,2201
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium",0,76,0,680,2538,162,290,537,508,462,0,129,78,1050,174,46,478,35,4513,64,0,75,178,150,611,14,13,139,9,897,0,0,104,0,4496,56,16,99,162,29,11,15,561,1995,163,0,22,847,2369,1245,0,58,669,1499,996,0,0,398,175,179,0,0,704,0,366,0,0,76,293,401
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2953,931,2019,282,1144,494,356,2330,256,315,411,1296,1030,643,1086,1165,858,2381,1101,1372,401,606,1310,866,269,1341,866,1968,772,495
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,1160,142,807,11,250,861,170,108,0,0,607,718,257,270,268,459,136,299,0,1437,0,15,319,184,1385,0,0,968,0,965,649,183,876,472,1807,201,33,762,225,955,80,1867,483,899,837,0,2120,84,0,38,21,146,465,0,301,115,50,949,0,681,156,87,1038,85,334,396,107,1183,89
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,0,0,164,124,0,0,0,0,2133,36,0,17,25,1644,0,0,0,0,1455,0,0,0,0,1695,0,0,0,0,1738,0,0,0,0,1129,0,0,0,0,125,3130,566,2292,856,1453,635,1858,1696,35,756,714,415,884,1262,2109,31,0,0,0,0,0,342,0,48,0,88,931,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",4897,856,110,60,270,928,206,0,692,278,635,1987,491,1199,81,712,375,74,772,21,659,792,0,541,134,745,1697,26,28,61,869,0,5,1628,261,1973,0,0,162,55,226,156,156,157,99,180,370,117,175,252,272,376,126,23,227,70,22,61,63,43,152,17,108,203,249,30,48,20,73,70
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,1179,47,414,174,0,430,47,0,565,87,821,60,1886,0,52,0,7,0,46,137,3358,1098,132,0,127,2301,4183,90,62,102,1528,1046,264,6,68,3490,31,26,266,45,0,103,57,38,33,0,193,392,932,567,77,690,123,764,0,0,51,0,0,0,0,27,0,0,0,12,0,12,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",869,0,0,262,0,0,0,281,1340,0,0,0,744,0,0,0,266,383,2300,0,0,0,210,345,744,374,0,94,788,0,0,0,0,755,1088,573,0,563,656,806,18,1080,1718,0,848,0,55,1603,71,1067,0,0,971,0,44,0,0,38,1077,835,29,20,0,1335,0,0,308,41,1463,1433
