pathway	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
ARO-PWY	11077.167427357646	9525.865807479771	10617.589422827732	10058.442641654698	6315.515162955032	12214.038794037588	5058.561385558608	4862.269048608312	6725.824506745044	7268.334681462261	11153.52900299363	1148.4177771808802	2496.9975316523887	2553.200650377075	5387.162217640221	4621.310392873964	2320.973986641264	3208.563817390716	3242.2557723714785	15922.05853675886	5826.416900687388	15733.883639343125	16031.149984989135	13370.46021542432	14631.363056634656	16712.195418065214	13841.35076285582	10164.715333987297	13037.794163239514	15632.551529527344	17383.48839553583	13030.722929188743	13521.76908827964	15165.34715972775	16701.327639660838	20187.448946776447	17379.35603904099	30785.055813676376	15924.141370384625	14102.368462984845	17199.266521849426	29934.85166131691
ASPASN-PWY	15189.05827823084	13939.103520598566	15124.853350665497	14796.503649844522	4517.173080123708	16846.43589349815	4558.802605668824	5969.792029869437	6986.264449711442	8211.150894854529	17028.129362984375	1157.3672608741972	3387.7417478134544	3911.864735399856	9041.391193674275	4802.17776031258	2373.4636594477697	3458.283200151488	3342.574752865923	22553.276370377887	8423.465807621178	26297.532335195807	27156.07414948972	23245.924031636747	25311.74158227777	27799.9844121458	20811.3963033229	15110.020400389769	18812.829190754685	23341.61694242915	29322.04246127593	19316.696753196284	20594.214741429776	25314.07283271917	25831.723866199223	28298.816278785085	25034.62931548928	35421.744361183475	24750.339434715523	24089.74632581448	25163.50551514045	31762.20246556949
AST-PWY	7631.678641682038	6795.413561321636	7581.815954327657	6807.886770618136	222.0927660899724	8593.481863429515	1650.4127302778147	3512.2524612188354	3481.1226002443696	3328.0674635993446	35.525392237819986	34.05120481927712	64.58563535911603	575.2930612012459	1090.4409952566562	47.03947368421053	429.040289723857	669.0	645.2580797478684	2.75	1465.8374589091093	0.0	0.0	0.0	29.38651877133105	2322.449254203267	2495.204725785173	2380.5536682579705	2919.0481012321297	0.0	1620.325214341733	2076.897799314297	1450.8413209458145	24.643085787451987	15.75	14.119634340222577	0.0	4.5	49.755700325732896	0.0	0.0	14.937888198757763
BIOTIN-BIOSYNTHESIS-PWY	14457.78214416397	13171.818926009586	14529.93051495947	13447.91335420891	1749.273078948862	16124.968022628056	4438.10293261807	6106.320251970109	6503.695679422503	6919.19761351655	517.6043670665138	662.3648018572532	805.5214802908952	2239.0444163204847	3443.0483753677017	572.419887073379	1192.3057144913157	1828.0210466655767	2631.3387888826715	554.1076454713007	4156.616754882559	377.5356107567145	290.91570502271463	127.51245720122236	700.9936281209763	9723.739094270884	8734.656381217766	7778.324602682866	8396.241587874229	6807.3508892132295	10046.347871786831	8417.526174272842	6099.444760268938	2013.4704191271164	2213.625066070374	431.0232508929495	1230.7568239491948	1624.1528254595346	552.2223974831797	737.0629694697727	1823.201039091936	550.3199016955
BRANCHED-CHAIN-AA-SYN-PWY	14867.944565118809	13649.793351315247	15002.837341555927	14571.874696816802	11406.879515516655	16494.671799020663	7524.405094144527	6485.236664865037	8862.211051908323	9954.312711114731	13558.259592230072	1022.380826678281	2459.7821648922777	3235.347039841041	7617.19872948866	5559.236653321071	3159.824791654583	4067.047354014412	4592.609221377198	20475.216189062587	7816.234157962109	24052.59142898784	23660.33850070981	20892.44601186388	21245.73980027688	22605.58403037675	17627.63417201367	13830.11886595205	17018.964436041242	23919.960854371784	23864.73623831854	16591.607864224647	18072.00543345044	18284.268640170976	21121.338134354803	22988.336732479434	18366.2437566683	34361.61340694146	18546.548582404364	18324.77224514135	17554.546744122115	32381.249202693925
CALVIN-PWY	34966.85930944726	36503.55527636159	34313.27171793465	34705.12390352469	18610.43492890623	38215.34261370804	12445.750702835248	13041.552085514564	14971.98647337364	17706.076881871264	24980.37642287436	4884.090804093426	7417.850266554892	10118.89757573674	15604.385862251182	13452.04106436056	8355.073220356513	10435.850949294563	11299.2258782513	25390.986665329907	17603.083565198864	26453.1400460507	27012.925777174	22879.87022044201	29293.198780244868	30026.303920435752	25652.660116818533	26101.015045432927	27681.459757004675	25516.78538870549	31520.192330914106	24214.98855044653	25804.27471278548	26046.091554319817	26826.106043835287	29603.362638674946	24438.639860533	42061.01716051976	26741.9736128062	23997.321766820354	26400.145631864056	38352.24510106196
CATECHOL-ORTHO-CLEAVAGE-PWY	31.198179559971614	21.563334813148806	25.91489361702128	48.1302449222592	24.92737923404477	0.0	0.0	0.0	6.31578947368421	8.765217391304347	12.0	17.181494661921707	37.0	18.0	1078.7760922123637	22.0	425.00000000000006	669.0	621.99	0.0	40.0	0.0	0.0	0.0	20.0	0.0	9.0	0.0	8.0	0.0	1036.14	3.0	989.43	7.0	0.0	9.353846153846154	0.0	0.0	6.0	0.0	0.0	8.585365853658535
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	225.4915549022437	202.78718940301343	264.44517399655075	389.5033044210537	452.7420305343055	278.6417584794326	40.43577140196852	4.632798563559844	384.7939054805402	541.5429192128579	306.6756580609224	107.66926117241977	321.32037510205595	157.2118682376177	1310.8807280106566	336.9430601534588	291.0812720234151	151.74972339462056	78.61875941944903	372.2548756750688	818.6539568917182	2252.887079195613	2310.50600818103	1245.5537804255755	364.224663487334	2354.753541690271	1490.3478868334892	2826.5749841721727	2300.6014411787896	166.31195977773476	2038.183566993057	2604.5935692743674	2348.120620735641	248.36777117560808	265.08267833602497	704.4144244126476	374.4978697843735	908.0399646989734	434.0637900464124	320.5194422452772	116.96029422212192	1066.5603468345291
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	25.02522518784251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
