function	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
K05947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05951	0.0	0.0	2.0	0.0	11.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	96.0	0.0	0.0	43.0	0.0	0.0
K05952	153.95999999999998	73.0	203.83	119.83	361.17	121.5	731.67	50.83	186.5	367.16	26.840000000000003	310.66	248.34	352.33	1100.86	152.5	572.8299999999999	809.5	1369.32	65.0	122.84	31.0	42.17	18.33	31.340000000000003	0.0	2.17	7.5	0.0	1295.0	1040.81	0.0	1000.9299999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05964	9460.12	7920.17	8343.92	7645.6	4882.35	10331.0	1624.75	3434.67	3388.08	3220.75	4427.75	2925.75	2243.0	2536.17	2109.86	2914.25	2151.0	1915.0	1238.74	2.75	4532.75	141.0	12.0	495.0	224.25	2337.0	2629.25	4538.17	3328.25	50.0	2214.56	4709.83	1966.51	2848.25	2613.75	1154.42	7125.0	2763.3	2940.0	766.0	3041.0	1513.0
K05966	9464.58	7926.5	8343.92	7650.27	4902.35	10331.22	1624.75	3434.67	3374.08	3215.75	4427.75	2925.75	2243.0	2536.17	3179.3900000000003	2914.25	2569.0	2584.0000000000005	1825.73	2.75	4532.75	141.0	12.0	495.0	224.25	2337.0	2629.25	4538.17	3328.25	50.0	3250.7	4709.83	2955.94	2781.25	1540.75	1152.25	6425.0	1717.5	242.0	0.0	3041.0	1513.0
K05967	0.0	6.0	9.34	7.0	0.0	15.0	0.0	0.0	24.4	81.0	0.0	32.0	70.0	34.0	6.0	0.0	18.0	0.0	8.0	0.0	3.0	0.0	0.0	24.0	0.0	176.4	59.8	0.0	128.79999999999998	0.0	0.0	151.6	0.0	197.0	12.4	824.0	293.4	29.2	24.6	57.2	296.6	27.6
K05970	780.25	631.6700000000001	863.51	1035.01	1414.67	926.99	184.0	24.0	221.0	487.33	2418.0	7.0	146.75	540.5	3028.67	147.0	17.75	280.0	4.5	12386.0	1182.75	15579.01	17084.92	15881.33	8514.5	14786.97	5253.77	3928.35	4060.0	44268.3	10949.1	5771.57	5912.83	13884.12	11958.02	4421.25	9345.42	9707.0	6192.040000000001	10631.73	14023.6	4565.9
K05973	107.0	108.0	93.0	165.0	197.2	98.22	0.0	0.0	8.0	29.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	63.0	96.0	5.0	0.0	43.0	0.0	3.0
K05977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05979	47.0	42.33	63.0	79.67	133.0	62.5	18.0	8.0	40.4	133.0	44.0	2.0	3.0	0.0	11.67	103.0	4.0	1.0	0.0	19.0	0.0	41.0	31.0	180.0	4.0	4750.070000000001	3639.8	429.0	131.29999999999998	0.0	3454.0	161.6	12.0	172.5	114.9	166.0	96.9	287.7	149.6	169.2	173.60000000000002	383.1
