pathway	055B	056B	068B	071B	077B	078B	091B	092B	093B	094B	098B	099B	100B	101B	217B	218B	219B	220B	223B	224B	225B	241B	242B	243B	244B	245B	246B	248B
DENOVOPURINE2-PWY	6197.141475459297	13231.3769823246	15290.906865712652	26496.562478300937	6305.5799293531545	7393.681461368106	16705.265388407115	49741.147345515325	23658.9907200094	17673.04648064557	22328.9615087157	20965.360125861	23431.9697214243	5265.396569437709	6844.529012826128	13850.005386941835	12001.508189321996	16315.69639991588	15935.46041062748	13994.619331013606	15653.749401199271	10414.57790113364	10752.032627937107	11792.781176402024	16317.567108169593	9367.990278544275	11073.135753124796	15221.30653939671
DHGLUCONATE-PYR-CAT-PWY	2050.078288598432	2107.346205337958	2932.626702312981	1131.641733746805	1618.6785479365908	2373.270458168049	957.097137230651	1374.3260635986323	1306.1588519165912	1072.5575947702107	725.916193364104	266.71858450276494	456.7273813545632	638.052572473037	355.9464613752034	368.98350597874287	213.00494914596027	400.1795149750606	565.1087204735383	673.9670591499669	673.0280286643114	564.5039327408938	692.1827129459774	834.3674128419667	760.4636112110077	669.3068670986196	732.715671661232	639.9893432555677
DTDPRHAMSYN-PWY	4799.765127756828	6312.542023749063	13019.967451816034	7971.456502456044	4338.589241661375	4876.455371707463	6029.347689981274	11678.893631503292	4738.961350093579	4272.331078670158	1810.5854272925703	1225.8174910758007	1350.0248258074378	1647.558207008629	5099.604952455433	5663.778522535515	2822.494077499692	11571.542282948249	11975.542231117694	7531.900315876187	9964.713873393428	7180.089274914132	7531.377995842999	9588.78357579491	10121.046843153772	4585.3358376947535	8620.2475278737	9527.583919834102
ECASYN-PWY	294.17251172941786	6493.499276666042	329.58515811838106	76.3154602872608	61.905260810611146	149.57930091863247	3041.62874792028	1448.9046444411251	142.29715128987047	320.5226855492395	197.4822920852357	4710.909167273487	139.43935425992245	161.4806614980266	532.375828170571	533.4220643574489	3716.962958656608	1146.2185143219135	874.6355277857351	1061.8527709785617	1472.578145871398	839.2768209639194	432.5362608903034	696.3181370067447	629.9442221388146	1763.5576708740198	805.4913706088525	606.1787983120539
ENTBACSYN-PWY	406.8569210979125	8737.212773538158	477.8040970613425	191.5905512844338	521.8743440235679	105.54751915309912	6549.276070585763	1054.936035754021	570.1904269654545	368.8001431981368	568.8514505649181	10675.510205892597	155.04199033211893	682.4542981836952	911.9920562780188	1012.541159784012	6386.7881348447145	1971.371379438645	1853.6683670161508	1423.0106495341834	1710.886655435641	2091.3539528017177	1593.482756641563	1573.7686196609295	1305.9658189823888	3414.2993647431263	1962.210066307838	1729.734410464398
FAO-PWY	7850.3393258582655	18462.793398708392	10393.68411138623	13373.417466942072	6835.754251612615	9767.471097387768	14227.160610657938	25965.8059899176	18655.57920614364	13486.513956686644	13949.060439767483	18272.02314782729	10123.58348208875	4344.434235677106	3256.494087381845	9483.5341583621	10999.74160101386	7901.501303419766	8044.104823376479	9395.754404327496	8778.09376973223	5612.244502976884	6980.5375426054325	6805.384068426927	9602.990021721138	7812.249544917776	6386.8044070262695	9311.909307745937
FASYN-ELONG-PWY	9004.858781200472	17487.890286121477	20791.640929123914	32308.90242792364	8723.14455935174	10366.718440196451	19900.112700884736	56066.35525796537	28351.89872149129	21629.61853051223	25433.6523932651	24369.6951509612	26272.33802313299	5965.925362160349	7046.925036747303	15262.470886712448	14024.955353661127	16427.308468266798	16608.940735731645	15315.528806522683	16733.175220333545	11787.894566368648	11737.28519762212	12573.14214613295	17527.139146796664	10740.454107152538	11444.995965845266	16169.17828252994
FASYN-INITIAL-PWY	7351.552385711803	13824.005081102348	13497.27686203024	8006.495205371175	6485.062989903825	8821.645402566619	9965.54861007877	11971.744962216406	10003.339435838496	8127.160791925986	5275.808606746119	8858.981002628003	3366.466895515476	3374.382346751708	4943.469365181551	6073.153695548901	7136.45910437923	9868.952863766126	10086.332442095298	8680.070226251959	9584.73041472168	6452.648336846376	8052.217634726293	9065.613993964967	10420.90640057481	6848.449653064963	8205.276493566547	9641.288633372393
FERMENTATION-PWY	4287.290632696121	15201.96549396305	7198.914212542221	16080.111196555134	3682.90700911916	5117.68048900747	13279.754470978956	31301.74767350968	8190.059159346293	8209.231227655488	4600.13461898846	17248.361493856115	7448.141398577351	3053.6941352674125	4733.927059832972	6806.538824256048	11028.414632059164	11056.084513896987	10935.960175430317	8282.547837517817	10779.828902849737	7698.080874185302	6885.2460310844335	7684.319636743074	10033.149716489455	7386.9301664808445	7363.799207241169	9662.451469594524
FOLSYN-PWY	6285.958717034674	14630.14103052971	10983.898973567228	17630.213281795703	5821.621848049214	7488.927760350186	16605.57624502516	44485.5564823779	22187.058068436178	16709.398017362575	21002.763998087503	20323.70730149907	21080.56791506323	4882.936069106575	6425.054753191181	12971.128811879282	12104.72510964991	15269.101815230462	14753.163367579158	13201.035874557754	14302.160286656506	8726.950295860855	10128.37897231059	11246.58475522259	14955.624663884888	9116.0734518685	10391.702448081316	14238.53320614322
FUC-RHAMCAT-PWY	515.0124011464313	6565.960804750246	1253.794299089442	825.6436188136755	197.889860641428	497.1474743357583	3653.521905401471	1501.82015214155	1249.023713225302	694.4611668313819	335.7764593950768	4352.21810412355	177.2219199248981	453.4088463161972	980.1721654708188	882.2438685556151	3618.9564839252944	2220.849819414371	1909.6433283654344	1453.948950556682	2270.3538555228	1864.415400721049	1013.165870529322	1340.2259987484117	2006.1766613671075	2267.278208339616	1572.9998268754268	1876.7474835616329
FUCCAT-PWY	709.5651118717409	6035.316393858111	938.600631305408	399.0839731078936	348.88970512777377	428.0289471760112	3318.8375189514927	1511.0012561643075	1330.0722176369875	730.0824278437786	410.25226925585656	3966.1134817497327	340.9531627271146	542.5753771282499	785.9440867968653	587.4819105898263	3400.207757780719	1795.3460285223755	1314.8984866133242	1145.366555721197	1713.0922727928994	1143.6942331766238	639.3895296115786	843.6558570907603	1345.1185534167123	1876.8684958691408	1145.2929042615715	1359.6789957004846
GALACT-GLUCUROCAT-PWY	491.63775213383536	6767.183670668425	596.4049687258024	1107.263022079171	223.738610716762	210.829220693678	3428.6902114428017	1613.4704757936065	729.5931000837493	530.3739805851515	437.8208714537824	5025.8286617097565	76.85887121430794	307.9200620657705	1372.673046157619	1326.095624534675	4005.26230430847	3234.873818708443	3238.868327416019	1944.315691979623	2242.3012343175783	1627.52459261123	1579.4102104627168	2485.0359656426376	2301.319390917941	2345.274885635844	2388.082156032203	2169.044410414911
