function	055A	056A	068A	071A	077A	078A	091A	092A	098A	099A	100A	101A	217A	218A	219A	220A	223A	224A	225A	241A	242A	243A	244A	245A	246A	248A
EC:1.3.1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.87	5122.0	4894.17	9.0	19.75	8.25	10.0	3876.33	3684.58	4656.17	4945.67	5249.0	5585.67	230.42	1508.75	4102.42	2004.67	1542.17	1975.08	2249.17	1303.42	1983.83	1422.67	393.67	841.58	1430.25	1126.42
EC:1.3.1.9	15561.27	18825.61	38373.57	40020.15	35470.85	24462.01	21974.9	25658.26	16956.699999999997	23466.12	22827.19	22524.56	15061.18	28644.71	10396.65	28161.14	22029.56	33836.130000000005	19047.37	20754.12	44647.92	23435.71	36891.67	17543.239999999998	15122.34	45925.84
EC:1.3.1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.98	15563.27	18985.61	38322.37	39977.95	35451.85	24409.01	21959.9	25658.26	16642.98	23321.12	22607.34	22316.7	14200.69	27848.96	10136.9	28123.47	22004.56	21884.800000000003	18877.7	20874.87	27570.92	23300.46	26300.33	17531.239999999998	14389.34	28394.840000000004
EC:1.3.3.11	0.0	0.0	234.0	329.0	100.0	386.0	115.0	30.0	90.0	12.0	26.0	34.0	125.08	176.32999999999998	29.75	2.75	0.0	0.0	32.67	0.0	4.0	0.0	9.25	0.0	2.5	0.0
EC:1.3.3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.3.3	5164.0	4928.67	158.0	202.75	69.25	278.34000000000003	3970.83	3727.58	5045.64	5136.42	5521.6	5855.530000000001	1080.41	2317.58	4243.17	2055.42	1545.17	1977.08	2377.84	1303.42	1998.83	1424.67	404.92	848.58	1453.04	1134.75
EC:1.3.3.4	2717.5	3782.5	5528.7	4616.2	387.0	750.0	1949.5	4938.0	6939.5	7404.0	9132.5	5817.0	662.2	1335.75	436.4	2196.0	1128.0	159.0	1433.0	1431.25	650.0	772.75	178.0	705.4	1293.0	937.5
EC:1.3.3.5	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
