"","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
"Bifidobacterium"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 7"," 1"," 0"," 3"," 1"," 0","33","15"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","21"," 9"," 0"," 8","10","15"," 0"," 2"," 0"
"Blautia"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 6"," 5"," 5"," 7"," 6"," 0"," 0"," 1"
"Candidatus_Arthromitus","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","590","289","239","  0","348","  0","  0"," 74","340","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
"Candidatus_Saccharimonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","6","0","0","0"
"Clostridium_sensu_stricto_1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 2"," 0"," 0","12","40","18"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","23"," 7"," 9"," 8","21","30"," 2"," 2"," 7"
"Corynebacterium_1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0","20"," 0"," 4"," 0","26","61","25","12","24","14"," 0"," 3"," 0"
"Distigma"," 0"," 3"," 2"," 2"," 3"," 2"," 0"," 1","38"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 9"," 0"," 2","15"," 6","20"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"
"Dysgonomonas"," 6"," 1"," 4"," 3"," 0","11"," 1"," 0","11"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 3"," 3"," 0","29"," 4","14"," 0","66","50","37","25","55","38"," 5"," 6"," 0"
"Empedobacter"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17","18","14"," 0","27","11"," 5"," 1"," 0"
"Enterococcus","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  7","  4","  0","  0"," 13","173"," 23","102"," 29"
