pathway	050A	052A	059A	064A	065A	073A	074A	075A	081A	083A	085A	086A	088A	095A	097A	103A	105A	106A	107A	215A	226A	227A	228A	229A	233A	234A	235A	237A	238A	239A
PWY-5097	13811.15418819752	30794.59004968516	31067.85714983095	34959.8129868566	35909.64480689803	45488.98290134425	38273.43693280185	41138.64842268109	31783.263738818503	29569.261816412592	26029.26666003865	22296.95853203032	33564.59659980329	31338.55751817552	32461.2757115602	35422.926194337946	34024.596211142016	33222.15515408117	38333.77296817837	23953.78925172717	23774.01778246512	17577.907255283317	15919.379860361298	15837.322022346092	19803.945652025963	20139.76697457416	23553.224986562767	20096.44899313302	28511.21833416314	22755.88478239865
PWY-5100	18396.14085023176	42432.43753051545	40885.36861729982	48157.97077280694	48915.5666662249	63796.07164021144	54415.70156551627	58518.05735583985	44589.7435252739	41508.04692045634	36546.749984036025	29151.86797674297	46666.71901811783	41039.67668629714	43930.35917758334	50520.041982101735	48117.56298133811	48034.46034526291	54808.41303061047	26221.69054625279	30566.84547028689	21978.6494354028	19925.529496098898	20048.534533378213	23913.305334708148	24379.18578542571	31865.24980044052	22701.679335324607	36098.94766954919	31238.032407036146
PWY-5101	3730.67441022081	5050.404615406108	8607.474558253569	3590.906107722096	4683.863208918918	15297.084429694343	5547.149466721597	6371.252687966016	3326.6397851047795	4282.913375728161	4996.281242988301	6761.483699893391	8253.90174277921	11473.72093267862	7781.494098022975	1494.5540456058038	3393.938333696808	2806.000607647153	1064.1684335771035	22833.05385740873	10479.428204814889	9353.168105780756	6772.524364566791	7534.057348758101	13552.637266103964	14411.054255519806	7795.463629368881	22688.382746586733	18271.9823096509	11210.106596681362
PWY-5103	3631.698374322371	4728.171338585597	8392.320455610969	2946.2358977690983	4508.079244657395	10929.152568105015	3821.783715382206	4150.448873943577	2503.7254342279866	3182.797596661359	3639.271418932171	6611.044703766751	6681.047621327125	9888.123936874146	6284.159511656461	1072.3301195982788	2689.636571391891	1818.1091259400027	819.8425855137878	19740.09702316232	8995.584820958318	8311.543670414383	6568.728272630793	7012.286525785885	11624.142883388731	12366.025044029317	6592.328696783001	18547.1285020946	15627.777896454909	9307.325636548874
PWY-5104	3266.1231392197774	4487.335414601717	7322.315401503613	2940.334979454295	3807.181982951811	15205.99379923249	5541.283004466687	6652.910648135	2172.645352681247	3204.2476047714767	2184.34140195486	5761.894953944149	7238.911661997378	10386.535536870024	6815.510230567216	646.182338068139	2925.004577992006	2735.019018960873	910.8803544981832	21495.62474914993	7835.724201293537	6731.1632130997605	5600.813174616493	5568.092402359836	11765.20500762545	12767.557191458198	3383.8159011794846	21787.58582385018	16792.358669118126	9858.914528481426
PWY-5121	3485.69593805858	4889.046465322086	7713.053381043315	3348.1824196896087	4239.052619927118	13954.551126155928	5569.420044445175	6438.236489762803	2468.6519015641047	3337.120706539439	3400.8938687999294	6520.508051754992	7222.2366425281725	10090.328970832528	7045.260677191687	1401.7469272440594	3529.3878590734694	3539.264345659832	1115.3702129466958	18178.49275663272	7215.099550126172	6426.625175383711	5483.054803471379	5253.322659728628	10440.164869200657	11089.997782616834	4157.709757591034	17556.969231866326	13920.853592909489	8118.339680762884
PWY-5154	3309.5002990856274	3980.849497636201	7638.094792523425	3539.0263797455777	4312.325983228215	3686.331570898108	1278.319528569695	756.3378533985646	2096.836552433804	3034.128118083002	3435.063824158143	6061.90436902934	4770.388191580473	8425.963634675172	5778.788512030141	1255.564734881872	2467.842250535376	1049.6435786751229	785.3111929843298	12453.060213829762	6465.055621989354	6050.832447055695	5757.759420822865	5474.192733694556	5989.625799731432	8124.745890597073	3297.48375992015	11394.221026147314	7565.770806236779	2275.6902918315272
PWY-5177	0.0	126.14572947379666	33.93373170071956	0.0	0.0	177.08276645018796	22.537717974648515	20.93135108538251	7.980215583880633	29.804171644898943	0.0	193.636243907618	353.3514710254061	924.9285728685052	644.7654208420729	0.0	0.0	9.805657469703585	0.0	181.5948249596946	181.8694872810957	0.0	11.98996115323994	0.0	51.35791266589097	83.26373703700595	0.0	517.1657236585497	999.0111067558822	356.71971913175577
PWY-5178	0.0	0.0	0.0	196.98930634761203	0.0	26.918062785285763	30.467235556153607	40.48516161290902	534.5942954184665	281.4579130433903	530.654762310759	0.0	89.22432845029013	210.05780618758968	308.3269087219687	80.3487242905605	40.26995059462183	49.91111220960697	25.96050272056928	0.0	29.759026748301483	10.886456476571365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5180	2287.819667529949	2587.4527650123496	5294.512529291309	1157.9486106936656	0.0	591.5846686214732	50.29380666134132	72.20182625517225	656.9275847743628	968.0620629696152	981.7109727772852	4260.850233745876	1817.836763694248	4335.99532689902	1444.9987826805996	98.35990803989404	719.3573971136541	101.62215701367798	56.74562047859808	122.337012496195	4041.613355891852	4024.9372456524334	4158.382100456548	3869.249513206174	844.7672296053129	2147.520176183886	2071.62638995854	628.9468639940777	764.354128918867	388.9294681414753
