pathway	050B	052B	059B	064B	065B	073B	074B	075B	076B	081B	083B	085B	086B	088B	095B	097B	103B	105B	106B	107B	215B	226B	227B	228B	229B	233B	234B	235B	237B	238B	239B
P122-PWY	22529.082276829173	44096.91742985402	41817.384043173006	65331.33384818192	70043.5579319108	21653.649561850303	4802.404884671631	46382.11498029103	49990.254253398765	29737.950969179543	29171.362248299258	35057.61087174814	48229.579822404216	31736.834473596857	40398.32272692968	51536.20123953797	14338.18158963885	31190.344918704388	4002.852437874722	25937.703541585422	4753.569860729276	9785.975045669264	5008.5677003434685	9784.132343494495	2235.9021371111494	2660.069201062634	11889.848988545147	8205.491222346302	13445.28809840099	8765.347312682205	15544.087800927738
P124-PWY	24642.453562253937	49777.66177047324	48100.43445497577	75519.00097427602	80912.06103524454	25266.34050345477	5310.492352766154	53304.6264121253	58120.29392750232	34075.65991795138	32171.35800302397	40188.54878250352	56430.29653124244	37216.107316041554	45341.1292820563	58111.444112936624	15938.873928229666	35970.208331628	4394.120326981736	29995.72535222975	5925.422042060887	11942.281395405756	5905.453702503221	11466.25806428866	2549.1730803538685	3299.9962153341785	13967.109268792192	10144.934463308044	15951.331895348132	10713.002009584085	18142.27606735756
P125-PWY	713.2793972045868	1173.1798881600414	780.1274934400029	215.7594251360757	650.4841669060633	2525.429708317547	1126.2727172310229	1210.8873381570927	1101.0037071789045	884.1337505761134	2694.535275712499	1317.3488649731548	541.558564015135	849.4067095930236	923.9827457514056	1143.787404412211	1423.8483731777158	609.6074367994138	562.101814443194	503.4694423780048	848.5379173913633	1535.1235179403686	550.7844653581014	785.9231138966301	474.97045482083297	658.6696272277569	430.6826015244541	1431.022883218662	1388.832933444767	1099.8963690709234	412.1006246431273
P161-PWY	38548.43758675272	70225.60667978248	63188.4607907933	95014.92119395602	101453.78426556614	32843.215520512764	6026.118643850348	67452.49474450368	72174.31781992766	42440.95591019288	42427.98840188354	50440.83526877023	67976.35581503063	47300.90067961097	62191.83479460128	78523.70706891667	21289.80396486086	45559.86983858652	5709.817643609366	37639.7477191596	7827.867856196467	17184.71593715134	8534.707791196046	14675.97047606156	3339.772869105118	3765.079032083216	18312.571261051	11606.288879010028	18644.915106295783	13579.390567938544	22373.54913631292
P162-PWY	0.0	0.0	0.0	0.0	117.24438045860776	0.0	184.6911257585113	0.0	0.0	242.27762313137825	168.05678513342662	0.0	287.6893606095504	0.0	0.0	30.46291304047509	140.4966840365352	59.64273767613922	391.6653345340869	217.9871684818595	1050.3022290217696	1258.4548576611728	646.1489290262896	460.213317118768	425.2962184619852	546.7696393699705	331.7918627723025	1523.259022067816	940.7134335172916	1350.6614113033377	380.5052825158589
P163-PWY	0.0	0.0	0.0	3.998868635588447	3.703086899422293	32.406622723705475	7.059090593625994	0.0	0.0	0.0	26.1901847116899	0.0	42.8344729756377	58.261309112767	0.0	12.791944855641946	0.0	41.638635481197326	0.0	96.33845456482209	386.1417310576664	544.7631348037045	228.93991280306287	230.8742381586299	70.11656814722383	255.9015081396866	58.95915100940324	394.0156898145647	194.89901776941755	542.7363109683664	58.26502481451607
P164-PWY	2915.1890318697474	10568.89299939723	5875.895388828878	0.0	168.78991508590846	7310.630985813067	1113.527640958464	3362.7180556287194	2829.737024581993	1245.4693151388817	1891.1728235879384	344.7899247935061	5848.853032234905	3680.207050027213	1378.8133393205248	1671.7031929016212	2282.4822369368903	1576.5775244319054	986.792971174326	1179.1131500040722	2747.451655672856	6651.630854827368	2407.248661496885	2552.855058009825	640.2703365204839	1858.156151427212	2650.5881189814145	4118.677231874456	4561.19779200447	3789.023703698914	1261.169745169013
P184-PWY	39.44607926574043	59.20201366125051	18.03107471926283	5.090852186887779	32.58645320773112	133.35385434230474	51.38554776029672	79.47737715436861	139.17795692656813	63.03726636442683	83.43695968086766	69.39708113396709	69.98556294114238	73.32102804067422	125.08836414052936	0.0	0.0	0.0	12.189806158189304	8.908666786315454	71.4824967403627	139.63490681950992	38.74472227492517	26.61566500924232	21.8347926557478	54.50227090282087	29.40288155743356	76.39232522204692	37.01784786186004	93.80565872888836	16.131510978538895
P221-PWY	874.025236362797	1363.1974729078363	576.3568306801354	258.33371847154774	705.9646736009137	2767.27373277418	1316.66136413815	1320.904424639025	1248.2064153762556	940.8648500836484	1978.8637279606664	782.0778452424418	604.8791181338876	867.5994240688116	694.2099559116982	394.614083378884	1594.2244228158895	734.5823272621969	563.3353273881696	572.6204308167166	1054.947516433274	1558.8903630127663	649.3214194404867	889.140399040585	473.81503783865423	794.2726272743004	587.4448431661835	1637.5795767254574	1860.798265296773	1323.9903909405225	553.6622237920745
P23-PWY	132.25258734079725	786.8063970318839	1365.1623845332629	79.00355893496184	317.4209727378421	930.7333103965476	608.609221628348	477.882772078119	505.1708883103237	907.8196276511856	1703.1725376766783	824.868902176104	1369.882940652933	967.572409221811	2363.4409980905307	1965.8192946068923	1087.063623376614	624.2134351022893	954.1885407358666	980.0030547913532	5214.806793983521	9206.254552169226	3540.4945534073063	3438.741241772408	1911.021927398413	3081.632938124465	3459.893896615461	6716.711569866596	5752.536152714802	6409.128959940674	2065.1627526552243
