function	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
K07286	2630.59	2317.42	2185.6000000000004	5062.4400000000005	2529.6800000000003	926.95	3511.53	1202.56	957.41	793.5799999999999	841.0400000000001	2192.52	1299.9	1434.26	1464.95	1516.22	2234.16	741.33	841.5	600.25	1297.56	608.46	250.17	1097.03	370.07	548.5699999999999	225.33	78.25	28.32	49.21	42.0	47.75	31.0	58.26	64.0	28.5
K07287	1763.42	839.75	539.77	1374.62	481.34	585.62	2733.69	439.4	344.25	350.25	896.3700000000001	2103.03	829.25	944.25	1408.12	929.71	2140.16	728.5	555.83	601.58	1042.39	466.29	288.0	1529.2	234.08	526.91	219.0	101.25	115.32	55.21	83.0	137.75	181.0	211.93	541.0	147.5
K07288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	11.0	5.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07289	2221.42	1280.75	1459.77	1797.95	956.01	1063.62	2796.69	451.4	476.25	453.25	911.17	2063.86	728.08	928.58	1343.62	928.71	2178.83	729.5	556.83	723.25	1066.39	483.96	296.0	1531.7	204.58	519.91	167.0	78.25	44.32	61.21	42.0	61.75	37.0	1252.93	72.0	31.5
K07290	1766.75	829.75	527.17	1334.62	480.67	561.42	2722.69	418.0	344.25	331.25	487.22	1632.84	557.75	777.75	993.42	882.21	2110.49	713.5	533.83	601.58	997.39	432.29	239.0	1041.87	152.07999999999998	442.16	168.0	78.25	28.32	50.21	42.0	41.75	28.0	59.93	86.0	28.5
K07291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07300	2255.08	1265.25	1433.1	1820.45	948.17	1067.95	2796.69	447.4	499.07	454.25	687.7900000000001	1979.84	628.25	903.0	1242.79	955.21	2216.83	754.5	568.83	716.58	1078.39	478.29	324.0	1301.17	181.08	453.91	221.5	85.25	44.32	62.21	135.0	66.75	54.0	756.9300000000001	1685.0	761.5
K07301	1742.75	774.75	556.77	1431.95	563.67	531.62	2728.0199999999995	540.4	387.5	521.75	3176.19	6213.52	2155.78	2064.18	4479.01	994.21	2234.58	1167.0	588.83	708.67	1150.39	519.96	320.25	9140.37	764.6599999999999	2437.8	1418.4	18697.07	20279.24	9950.38	17327.67	11962.25	10343.09	9881.59	13134.67	15827.47
K07302	4081.0	2109.0	2122.01	2756.08	1478.43	1691.59	498.0	830.0	833.75	865.0	754.8	1323.5	570.0	865.5	1611.5	1240.0	1277.25	1108.0	477.0	1247.41	906.25	918.41	499.0	706.5	63.5	37.0	28.0	155.0	48.0	48.0	82.0	102.0	65.0	106.25	158.0	55.0
K07303	5697.0	2819.0	2629.01	3831.75	1893.76	2185.59	710.0	1227.0	1153.75	1219.0	959.5	1623.0	743.5	1202.5	2140.5	1814.0	1850.25	1624.0	704.0	1812.41	1294.25	1324.41	701.0	533.0	40.5	26.5	21.0	232.0	64.0	65.0	123.0	141.0	93.0	151.25	222.0	81.0
K07304	22764.0	44652.8	28219.88	27029.69	33449.72	32048.210000000003	49900.600000000006	29845.7	3498.82	24918.05	5926.22	12059.54	5031.4800000000005	9195.1	9087.35	11073.91	14731.84	32932.0	11097.83	2010.75	15957.64	11058.84	37592.4	12200.579999999998	19687.99	16931.56	21378.94	46832.59	67259.33	66028.20999999999	72972.43	33478.55	59664.33	92902.19	60976.0	62029.5
K07305	23574.84	46088.14	29795.04	30057.26	34920.58	32074.79	50075.77	30557.86	4079.56	25265.38	5008.2300000000005	10449.96	5003.81	9198.58	8056.69	11510.32	14869.71	32841.5	11256.5	1811.33	16010.56	10785.919999999998	37469.9	8556.38	18028.94	15166.500000000002	20085.31	46698.25	67063.98999999999	65938.88	66028.1	32562.55	59492.67	91391.6	60082.0	61931.17
K07306	27.42	12.75	14.5	175.87	10.92	39.5	2508.4	13.0	3.5	33.25	623.4200000000001	1406.19	385.5	446.58	761.1700000000001	281.71	1548.24	195.0	319.49	12.5	577.14	14.21	44.0	1358.87	168.08	481.32	160.0	165.75	1054.8200000000002	189.21	681.5	787.75	1847.5	745.68	2219.0	711.5
K07307	30.5	25.5	27.0	351.74	21.17	52.0	5016.799999999999	26.0	7.0	36.5	657.09	2192.36	589.0	721.83	811.34	562.92	3026.49	390.0	619.99	25.0	1154.28	28.42	52.0	1881.91	285.16	872.65	315.0	410.5	3298.14	485.92	1862.0	2160.5	5639.0	1292.36	4587.5	1575.0
K07308	27.42	12.75	14.5	188.87	10.92	47.5	2508.4	13.0	3.5	27.25	605.42	1304.19	382.75	436.08	535.9200000000001	281.71	1501.58	217.5	306.83	12.5	577.14	14.21	44.0	1076.87	157.08	434.66	160.0	331.25	2590.82	442.71	1738.0	1892.75	4763.0	814.68	2883.5	1160.5
K07309	5.75	12.75	12.5	175.87	10.25	12.5	2508.4	13.0	3.5	3.25	70.67	885.67	233.5	306.25	129.67000000000002	281.21	1524.91	187.5	313.16	12.5	577.14	14.21	8.0	678.04	121.08	409.99	155.0	119.25	929.32	176.21	602.0	656.75	1643.0	285.68	964.0	388.5
K07310	5.75	12.75	12.5	12.15	10.25	12.5	5.25	13.0	3.5	3.25	25.5	819.0	217.75	306.25	22.5	272.5	1524.91	180.0	313.16	12.5	0.0	9.5	8.0	553.75	112.75	401.66	155.0	60.75	468.25	75.5	301.5	328.75	821.5	146.25	482.0	195.5
K07311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	14.5	0.0	0.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.5	286.0	50.5	234.5	244.0	655.5	115.0	433.5	193.0
K07312	5.75	12.75	12.5	175.87	10.25	12.5	2508.4	13.0	3.5	3.25	107.67	848.67	237.25	309.75	113.92	281.21	1501.58	180.0	306.83	12.5	577.14	14.21	8.0	572.04	121.08	400.66	155.0	60.75	470.82	104.21	301.5	328.75	821.5	147.68	482.0	195.5
K07313	2561.5	1408.17	1647.33	1978.71	1088.5	1223.5	3260.92	713.5	736.3299999999999	610.5	1398.63	3869.14	1906.67	2002.25	1761.73	1356.01	3864.33	1033.67	993.33	1002.67	1396.5700000000002	664.54	507.33	3255.8500000000004	949.43	1766.85	1371.98	114.83	179.74	90.38	64.67	99.5	135.67000000000002	127.27	427.0	55.67
K07314	5.75	12.75	12.5	12.15	10.25	12.5	0.0	13.0	3.5	3.25	25.5	819.0	217.75	306.25	22.5	269.0	1491.08	172.5	306.83	12.5	0.0	9.5	8.0	534.75	112.75	392.33	155.0	2.25	9.75	3.5	1.0	0.75	0.0	8.25	0.0	2.5
K07315	215.0	114.0	103.0	530.83	349.93	164.41	278.66	47.0	127.75	41.0	1154.0	2024.27	815.1600000000001	435.74	1292.25	93.0	119.59	393.67	64.0	99.42	183.25	173.75	18.0	3877.6	967.33	1344.67	961.16	50.0	702.33	47.0	144.34	138.0	1754.3300000000002	650.25	674.67	10.67
K07316	27917.75	69668.67	42846.58	43018.02	51642.84	46221.33	75567.38	47022.66	5002.41	39517.13	4308.02	9749.73	5783.39	14824.6	8439.3	16012.01	20073.33	51275.83	11472.42	1330.0	22827.17	15908.5	60035.17	6653.77	29605.49	22425.0	28127.23	59532.0	98757.67	70847.67	33073.0	14984.0	30631.009999999995	134783.49	21487.67	58832.67
K07317	0.0	0.0	0.0	26.0	0.0	1.5	8.0	0.0	11.0	0.0	90.0	120.0	46.18	65.4	70.93	0.0	0.0	37.0	0.0	0.0	22.0	0.0	5.25	131.13	12.0	8.0	40.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
