function	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
EC:6.3.1.8	14.75	25.75	14.5	175.87	10.25	12.5	2519.4	13.0	3.5	3.25	166.67000000000002	979.67	276.5	337.25	151.67000000000002	281.21	1501.58	172.5	306.83	12.5	589.14	38.21	8.0	690.04	139.08	400.66	155.0	2.25	12.32	32.21	1.0	0.75	3.0	9.68	0.0	2.5
EC:6.3.2.1	2660.33	1536.05	1823.81	2475.28	1387.34	1446.95	3114.2699999999995	643.4	772.0699999999999	646.35	4901.280000000001	8520.910000000002	2918.58	2747.57	6405.55	1100.01	2476.25	1154.0	662.58	963.58	1420.39	880.29	481.25	10558.830000000002	1668.83	2615.15	1669.8000000000002	958.67	5834.74	1329.88	5634.6	2816.05	6278.59	4359.34	8165.17	3774.67
EC:6.3.2.10	23957.57	46215.34	29999.370000000003	30252.37	35134.740000000005	32624.620000000003	50285.19	30949.36	4513.61	25694.68	9126.34	17130.670000000002	7910.049999999999	11576.4	13274.69	11941.82	15262.53	33579.67	11479.5	2264.74	16506.76	11300.419999999998	37927.15	19846.43	19478.69	18388.710000000003	22925.68	65742.57	88693.40999999999	76063.54999999999	79083.01999999999	44423.3	72189.84	97774.76	74958.17	78131.39
EC:6.3.2.12	24214.97	46299.54	30140.17	30359.36	35281.86	32983.96	50475.350000000006	31222.460000000006	4782.66	25760.68	9959.64	18619.61	9140.52	12492.87	13887.219999999998	12258.82	15501.04	33714.67	11674.5	2505.41	16815.96	11671.52	38194.95	22517.33	20344.89	19764.7	24291.11	56556.17	80162.58	75954.72	100168.52	46808.8	92049.85	99824.92	90325.34	81798.26
EC:6.3.2.13	40306.57	88352.66999999998	56165.44	53384.03	66389.3	60877.62	95873.85	59572.16	7159.28	49699.67999999999	11325.4	21990.270000000004	10646.7	18591.89	17669.33	21630.82	27569.75	65515.25	21701.5	3111.41	30866.759999999995	21030.89	74933.22	22715.71	35373.29	31315.090000000004	41632.36	112444.24	155766.41000000003	141976.88	151911.34999999998	77754.3	131714.16999999998	190482.09	135444.16999999998	140092.72
EC:6.3.2.17	24214.97	46299.54	30140.17	30359.36	35281.86	32983.96	50475.350000000006	31222.460000000006	4782.66	25760.68	9959.64	18619.61	9140.52	12492.87	13887.219999999998	12258.82	15501.04	33714.67	11674.5	2505.41	16815.96	11671.52	38194.95	22517.33	20344.89	19764.7	24291.11	56556.17	80162.58	75954.72	100168.52	46808.8	92049.85	99824.92	90325.34	81798.26
EC:6.3.2.2	46721.24	113248.09	69920.37	68470.44	82835.24	75938.62	124307.44	76239.86	8206.11	64096.380000000005	7614.48	17107.71	9800.88	23360.25	14071.09	26571.82	34491.44	83459.5	19011.25	2882.91	37755.76	26122.75	97512.9	12118.919999999998	46164.44	36372.0	45967.31	112523.75	164640.99	131178.88	102014.85	44699.3	77680.42	224720.6	68239.5	125704.42
EC:6.3.2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.3.2.29	279.0	126.0	30.0	160.0	102.0	142.5	0.0	6.0	0.57	14.0	403.0	630.5	283.43	200.0	475.93	6.0	34.66	26.0	10.0	2.66	3.0	20.66	10.0	695.0	117.0	31.5	112.0	17556.4	13152.0	8578.0	93.0	7620.0	17.0	705.0	4319.5	12544.8
EC:6.3.2.3	2390.34	1368.55	1516.8100000000002	1903.62	1000.34	1183.95	2796.69	484.4	567.25	461.05	1586.08	3066.3	1076.41	1235.75	2188.62	962.51	2227.16	749.5	581.58	724.58	1087.39	500.29	343.0	2705.62	342.58	591.33	246.0	82.25	44.32	67.21000000000001	42.43	64.55	37.0	70.93	94.0	31.5
EC:6.3.2.30	279.0	126.0	30.0	160.0	102.0	142.5	0.0	6.0	0.57	14.0	403.0	630.5	283.43	200.0	475.93	6.0	34.66	26.0	10.0	2.66	3.0	20.66	10.0	695.0	117.0	31.5	112.0	17556.4	13152.0	8578.0	93.0	7620.0	17.0	705.0	4319.5	12544.8
EC:6.3.2.31	5.33	8.0	33.0	31.0	50.0	12.0	0.0	0.0	2.25	14.0	168.17000000000002	96.25	80.0	34.0	181.67	3.0	44.0	13.0	8.0	31.0	27.0	15.0	11.0	280.67	17.0	18.5	3.0	1.67	0.0	0.0	0.0	0.0	3.0	0.0	1.5	0.0
EC:6.3.2.32	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	18.0	0.0	0.0	30.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	17.34	9.0	0.0	0.0	5.34	54.0	0.0	0.0	0.0	60.66	0.0	11.0	0.0
EC:6.3.2.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.3.2.34	5.33	8.0	33.0	31.0	50.0	12.0	0.0	0.0	2.25	14.0	168.17000000000002	96.25	80.0	34.0	181.67	3.0	44.0	13.0	8.0	31.0	27.0	15.0	11.0	280.67	17.0	18.5	3.0	1.67	0.0	0.0	0.0	0.0	3.0	0.0	1.5	0.0
EC:6.3.2.35	0.0	2.75	0.0	1.0	0.0	0.0	1.5	4.0	33.0	0.0	534.0	812.5	277.0	139.0	652.0	6.0	8.0	6.5	4.25	15.5	0.0	0.0	7.0	1094.67	43.0	234.33	200.0	24.0	113.17	3.67	15.5	32.0	349.51000000000005	24.91	384.17	37.67
EC:6.3.2.36	0.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	20.0	0.0	30.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.3.2.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.33	0.0	6.33	0.0	0.0	0.0	0.0	19.0	0.0	9.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
