pathway	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
PWY-5384	4858.974582052499	4456.063532143619	4108.454453196205	8738.693253794943	4718.695384343478	1862.144241899528	6651.061096887325	2314.8789045397275	1617.457245680397	1563.7672969132752	1618.2538941050416	4021.403333654057	2258.962373469364	2572.753866392046	2702.6213674076816	2727.395823970296	3987.913931757033	1481.6863718379125	1570.461202272637	947.3740224205086	2485.811785338599	1154.392426943919	597.2552997611965	3995.515560356301	1493.7601680999123	2401.93629776571	2713.900022625232	14293.083508259506	6588.093256716084	15032.5268893937	33497.52308830143	15765.315017863111	27391.52167349604	6140.91382674354	29794.499789354617	25559.81121139749
PWY-5392	0.0	0.0	112.38353466043228	45.17512549920848	0.0	24.309001299103404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.44729242874935	88.3247282070579	0.0	6.950393234339139	40.547861809106514	0.0	51.08455328071063	0.0	31.41157821568877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5415	189.62725598498383	155.43908301867236	137.9436318091553	502.31088443469696	79.07550165937862	219.2890109447076	1530.63951339786	149.70267030351494	48.56073086710688	8.040483929218908	1262.9518353604935	2653.2929150461564	998.7340624872456	825.4730313304399	1493.8118764521962	537.6760216274107	743.1156581170268	327.5584060905699	443.2740236968907	63.60006196135588	809.1039993832239	195.90641141266656	91.65965777616222	2009.9712457948224	325.99300393050163	762.4651489674986	333.684395686265	65.35103779683897	57.80940713412495	66.67734020918867	48.29121802363128	31.38925796163509	119.14183030429058	66.52612784226285	104.0393054884062	51.94228899619046
PWY-5417	1744.5571422871576	840.6614235622269	595.5957550562943	1354.9895644198514	467.4141855968891	528.5062757441458	2954.5552178434777	414.5007613748156	343.9077365935944	347.8036322628986	621.5982664562088	1021.5899057213926	399.4024084678344	532.4856510474763	961.161031835863	670.3934533115278	711.4011802374724	572.5702002155965	256.2239102275664	610.3577042008053	1059.4952554624365	434.0355173149837	229.3916981859356	585.0762687493169	71.12979145495012	81.29086318791894	0.0	77.188085698026	21.456255030014123	50.912932489465774	41.5239231595275	44.11523998721454	29.1830985915493	50.49923071064633	65.20754716981132	26.85565507186003
PWY-5419	62.98604840136915	0.0	0.0	0.0	5.992345681187758	19.90718816672992	1.659131714353037	0.0	0.0	0.0	195.4679562437965	142.53759356805114	162.74233971482784	74.65712725042103	260.99792579815426	29.50792629304589	0.0	0.0	9.921139039373289	14.555683845384284	0.0	55.479746648478006	0.0	174.60934025729165	0.0	15.955136906661949	0.0	0.0	0.0	1.987665224260628	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5420	91.47539714645184	0.0	0.0	0.0	10.002136390353346	32.88219352580288	2.9025364181076045	0.0	0.0	0.0	309.3636656780624	240.7465555106129	257.52831761059645	124.72591277491551	409.07353964641896	50.08847322355413	0.0	0.0	17.146137326064526	22.25193587065914	0.0	81.96670594548691	0.0	287.9712924710851	0.0	27.497825255439736	0.0	0.0	0.0	3.408528598105478	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5430	61.039826874636205	0.0	0.0	0.0	13.572937570885989	24.88961668321008	0.0	0.0	0.0	0.0	357.53358574911687	309.6253074424051	282.72778895225656	151.89297255295747	451.8584228597561	13.473171749359649	0.0	0.0	16.2637817385494	5.936622522229996	0.0	27.05584626653369	0.0	325.6860719685632	0.0	31.370590490036168	0.0	0.0	0.0	3.240666356528077	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5431	1744.5571422871576	840.6614235622269	595.5957550562943	1354.9895644198514	467.4141855968891	528.5062757441458	2954.5552178434777	414.5007613748156	343.9077365935944	347.8036322628986	621.5982664562088	1021.5899057213926	399.4024084678344	532.4856510474763	961.161031835863	670.3934533115278	711.4011802374724	572.5702002155965	256.2239102275664	610.3577042008053	1059.4952554624365	434.0355173149837	229.3916981859356	585.0762687493169	71.12979145495012	81.29086318791894	0.0	77.188085698026	21.456255030014123	50.912932489465774	41.5239231595275	44.11523998721454	29.1830985915493	50.49923071064633	65.20754716981132	26.85565507186003
PWY-5484	18524.58993990456	25672.46969058868	21938.74673226108	28754.152878298	24829.910835103885	14606.996722094256	34452.21035164374	13800.68432079087	4660.45035038936	10894.65831032539	9938.376264543587	19374.64178077206	8779.486062293892	11765.448344029042	14389.234849703606	10411.913296117787	15560.834284523591	12293.139756445598	8256.512385399228	2256.417621543922	11905.219702305496	6792.609746382353	5410.262266741891	22435.442900380505	12839.73897501972	16587.249324470205	14296.699015693845	10557.924663678235	46543.15631651776	12653.257992796329	56537.59739817804	23622.478992709595	51232.69603845716	44603.06675546427	47222.18214471852	25207.537150871027
PWY-5499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5505	590.3227169094446	243.2540342944932	247.1600768203297	910.0581557331992	277.3218012082531	292.76585654584574	5242.5072020480375	35.73629958550804	351.7573053538832	225.95526084966212	2353.445483547985	3454.394389281698	1349.5977265428762	1046.7983780425066	2852.822667645289	181.40367966397696	305.3800775068256	118.47682244064188	44.49399925038367	206.22330121677587	1534.5380728556656	111.84758846377034	130.3062688928208	7861.80860782453	798.578738722366	2460.77067112774	1940.5600645242805	884.3068115471247	6167.420780862895	408.4028825916348	1300.841105304208	1017.048435925472	13832.17546001586	2318.466999596141	11060.88039730631	3902.978545169501
PWY-5507	304.7240990769769	104.2955604036247	224.7528651966158	795.1020666948839	18.546751395578344	20.912736414557983	1112.489814479972	35.4886231490439	305.8735508145649	203.79107526295883	1381.3441324604817	2104.507017588766	815.0773228149756	684.457553877534	1825.9065630352984	73.60538181014189	194.9262960112615	246.07570838035548	55.577048781176266	97.5498034997252	996.0387309782334	41.617946236587805	134.69091009347864	2695.841964160423	184.32129773335825	388.8801665124804	235.99039410104527	76.22864163984167	23.560521918186097	114.37767285650442	630.1392044997348	442.9107608631133	407.6889853568681	916.587018014123	1265.4773578079764	368.5985515351798
