"","053A","054A","055A","056A","057A","061A","062A","063A","068A","069A","070A","071A","072A","077A","078A","079A","089A","090A","091A","092A","098A","099A","100A","101A","217A","218A","219A","220A","221A","222A","223A","224A","225A","241A","242A","243A","244A","245A","246A","247A","248A"
"Lachnospiraceae",0,0,0,55520.1601893147,0,0,0,0,0,0,2321834.89578593,910.166560480568,0,317648.129607718,2730.4996814417,13652.4984072085,519705.106034404,10011.8321652862,212068.808591972,27304.996814417,0,5460.99936288341,56430.3267497952,0,1185036.8617457,631655.592973514,717211.249658688,952944.388823155,283971.966869937,780922.908892327,1275143.35123328,754528.078638391,2106125.42095203,1028488.21334304,506962.774187676,1257850.18658414,141985.983434969,911076.727041048,178392.645854191,647128.424501684,257577.136616001
"Bacteroides",0,0,0,0,910.166560480568,0,0,0,0,0,0,0,0,0,0,910.166560480568,0,0,0,0,0,0,0,0,125602.985346318,83735.3235642123,22754.1640120142,9101.66560480568,910.166560480568,1677436.97096569,1820.33312096114,0,18203.3312096114,0,1820.33312096114,4550.83280240284,1342495.67670884,910.166560480568,6371.16592336398,21843.9974515336,1820.33312096114
"Rodentibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170201.146809866,30035.4964958587,28215.1633748976,5460.99936288341,1227814.69008829,0,135614.817511605,41867.6617821061,33676.162737781,274870.301265132,60981.1595521981,11832.1652862474,41867.6617821061,68262.4920360426,55520.1601893147,3640.66624192227,33676.162737781
"Turicibacter",0,0,0,1820.33312096114,0,3640.66624192227,0,0,0,0,0,0,0,0,2730.4996814417,0,1820.33312096114,0,0,0,0,0,0,0,20933.8308910531,0,5460.99936288341,0,0,140165.650314007,0,0,0,0,0,0,0,0,0,6371.16592336398,1820.33312096114
"Parabacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910.166560480568,0,1820.33312096114,0,10011.8321652862,114680.986620552,0,3622462.91071266,4550.83280240284,0,4649130.79093474,14562.6649676891,1808500.95567489,0,176572.31273323,718121.416219168,5411850.36861746
"Lachnoclostridium",0,0,0,7281.33248384454,0,0,0,0,0,0,1127696.36843542,0,0,0,0,0,65531.9923546009,0,158368.981523619,33676.162737781,14562.6649676891,0,0,0,788204.241376172,790024.574497133,0,578865.932465641,393191.954127605,61891.3261126786,272139.80158369,95567.4888504596,436879.949030673,681714.753799945,143806.31655593,953854.555383635,331300.628014927,157458.814963138,640757.25857832,468735.778647493,713570.583416765
"Alistipes",0,1820.33312096114,0,0,0,0,0,0,0,0,910.166560480568,0,0,0,0,0,0,0,0,0,0,0,0,0,198416.310184764,23664.3305724948,0,20933.8308910531,25484.6636934559,354964.958587422,122872.485664877,467825.612087012,3640.66624192227,3640.66624192227,267588.968781287,25484.6636934559,512423.77355056,23664.3305724948,4550.83280240284,7281.33248384454,27304.996814417
"Anaerotruncus",0,0,0,0,0,18203.3312096114,0,0,0,0,0,0,0,1420770.00091017,28215.1633748976,38226.9955401839,0,0,3640.66624192227,0,0,0,0,0,319468.462728679,363156.457631747,117411.486301993,110130.153818149,29125.3299353782,0,556111.768453627,15472.8315281697,10011.8321652862,101938.654773824,66442.1589150815,368617.45699463,124692.818785838,177482.479293711,145626.649676891,121962.319104396,179302.812414672
"Clostridium_sensu_stricto_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73723.491398926,7281.33248384454,56430.3267497952,0,1820.33312096114,0,0,0,3640.66624192227,11832.1652862474,0,0,0,171111.313370347,0,0,16382.9980886502,0,0,0,0,0,0,7281.33248384454,0
"Ruminococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820.33312096114,0,12742.331846728,42777.8283425867,0,0,10921.9987257668,0,901975.061436243,125602.985346318,83735.3235642123,28215.1633748976,0,478747.610812779,0,31855.8296168199,27304.996814417,0,86465.823245654,207517.975789569,966596.887230363,118321.652862474,0,8191.49904432511,0
"Roseburia",0,0,0,0,0,0,0,0,0,0,0,0,0,103758.987894785,0,0,10011.8321652862,7281.33248384454,31855.8296168199,7281.33248384454,2730.4996814417,5460.99936288341,2730.4996814417,8191.49904432511,34586.3292982616,29125.3299353782,0,14562.6649676891,29125.3299353782,0,0,0,0,8191.49904432511,61891.3261126786,298534.631837626,90106.4894875762,82825.1570037317,89196.3229270957,169290.980249386,57340.4933102758
"Ruminiclostridium_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187494.311458997,11832.1652862474,40047.328661145,18203.3312096114,0,1820.33312096114,8191.49904432511,0,155638.481842177,133794.484390643,42777.8283425867,31855.8296168199,26394.8302539365,0,3640.66624192227,0,0,98297.9885319013,14562.6649676891,128333.48502776,22754.1640120142,124692.818785838,10011.8321652862,8191.49904432511,0
"Dysgonomonas",0,0,0,0,0,0,0,0,0,4550.83280240284,8191.49904432511,0,0,0,1820.33312096114,8191.49904432511,0,0,0,0,0,0,0,0,109219.987257668,63711.6592336398,21843.9974515336,6371.16592336398,0,855556.566851734,6371.16592336398,0,20023.6643305725,910.166560480568,1820.33312096114,0,0,910.166560480568,0,29125.3299353782,0
"Ruminiclostridium",0,0,0,5460.99936288341,0,0,0,0,0,0,0,0,0,0,0,0,3640.66624192227,0,0,0,0,0,0,0,248475.471011195,127423.31846728,19113.4977700919,202056.976426686,19113.4977700919,0,27304.996814417,0,0,55520.1601893147,3640.66624192227,152907.982160735,0,166560.480567944,0,0,0
"Intestinimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13652.4984072085,0,2730.4996814417,0,0,0,0,0,220260.307636297,119231.819422954,0,7281.33248384454,0,7281.33248384454,38226.9955401839,0,0,14562.6649676891,0,164740.147446983,0,40957.4952216256,1820.33312096114,0,0
"Oscillibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,10011.8321652862,0,0,44598.1614635478,0,0,0,0,0,0,0,401383.453171931,175662.14617275,20933.8308910531,171111.313370347,62801.4926731592,47328.6611449895,16382.9980886502,5460.99936288341,0,7281.33248384454,9101.66560480568,118321.652862474,20933.8308910531,658050.423227451,0,8191.49904432511,0
"Weissella",0,0,0,0,0,0,0,0,0,0,1820.33312096114,0,0,0,0,910.166560480568,0,0,0,0,0,0,0,0,100118.321652862,53699.8270683535,32765.9961773004,3640.66624192227,0,820060.070992992,910.166560480568,2730.4996814417,17293.1646491308,0,910.166560480568,0,0,9101.66560480568,0,23664.3305724948,3640.66624192227
"Acetatifactor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64621.8257941203,0,20933.8308910531,0,0,0,0,0,68262.4920360426,413215.618458178,0,63711.6592336398,9101.66560480568,0,30035.4964958587,0,0,145626.649676891,0,344953.126422135,0,76453.9910803677,0,182033.312096114,0
"Ruminococcaceae_UCG_005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95567.4888504596,69172.6585965232,14562.6649676891,10921.9987257668,0,1228724.85664877,10921.9987257668,0,910.166560480568,0,3640.66624192227,0,4550.83280240284,0,0,39137.1621006644,5460.99936288341
"Lachnospiraceae_FCS020_group",0,0,0,0,0,0,0,0,0,0,0,0,0,29125.3299353782,2730.4996814417,0,2730.4996814417,10011.8321652862,0,0,0,0,0,0,34586.3292982616,0,0,0,0,123782.652225357,34586.3292982616,0,0,0,0,12742.331846728,0,18203.3312096114,0,0,0
"Arcobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48238.8277054701,44598.1614635478,10921.9987257668,9101.66560480568,0,631655.592973514,4550.83280240284,0,6371.16592336398,1820.33312096114,0,0,0,0,0,8191.49904432511,0
"Empedobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1820.33312096114,0,0,0,43687.9949030673,23664.3305724948,6371.16592336398,3640.66624192227,1820.33312096114,308546.464002913,0,0,0,0,0,0,2730.4996814417,0,0,10921.9987257668,4550.83280240284
