function	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
EC:4.2.1.2	5251.67	15155.51	30295.82	34012.94	29636.31	55565.16	24551.15	52912.29	39004.74	50894.24	23814.88	19190.75	53339.83	15085.84	6306.0	3770.83	4837.360000000001	4749.04	10084.09	9210.34	3929.59	2679.54	718.9100000000001	21257.0	14986.89	14779.79	13899.84	7430.67
EC:4.2.1.20	10100.57	6302.950000000001	22985.72	34057.65	24680.28	68891.56999999999	17647.29	70815.39	58626.71000000001	79250.91	31941.54	25258.300000000003	81028.32	17611.68	6365.3	4223.96	5820.5	5647.07	9688.98	11212.99	4003.65	2853.78	933.02	37276.100000000006	10749.51	10395.16	7594.0	6904.84
EC:4.2.1.22	0.0	0.0	0.0	219.85	207.86	400.08	102.75	49.75	4.0	0.0	12.0	6.5	10.33	0.0	0.0	419.25	669.0	586.99	2.25	1072.53	0.0	4.25	0.0	4.5	138.0	14.0	28.0	15.0
EC:4.2.1.24	4953.42	6667.09	8863.16	15424.94	11918.53	19653.49	5969.83	19000.25	2768.25	4200.33	5809.41	5009.04	5347.58	3099.59	2490.75	1063.83	1323.5	2049.07	2240.09	2048.2	1335.5	1038.34	444.16	4676.25	4253.74	3803.48	3511.5	2430.42
EC:4.2.1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.28	15.0	0.0	186.0	659.55	623.5799999999999	1497.34	857.25	276.2	339.0	360.51	654.99	278.01	147.99	0.0	6.0	1266.0	2007.0	1760.9700000000005	24.0	3248.58	0.0	28.2	0.0	96.0	18.4	0.0	6.0	0.0
EC:4.2.1.3	5590.92	8649.69	19292.22	28089.090000000004	24419.67	30429.720000000005	16842.42	29563.94	20518.21	27210.99	12636.670000000002	10228.63	27353.25	6841.09	3294.55	3580.88	5322.0	5356.22	6554.64	9014.7	2630.74	1712.99	571.8600000000001	13591.85	12574.04	12323.44	10781.84	7636.92
EC:4.2.1.30	0.0	0.0	0.0	0.0	0.0	215.59	17.25	27.2	72.0	54.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.2	0.0	0.0	18.4	0.0	0.0	0.0
EC:4.2.1.32	49.5	16.5	7871.66	11017.2	11677.06	3434.0	8470.84	4140.34	4039.16	4028.16	1797.16	2883.5	2252.84	39.5	42.5	840.0	1338.0	1183.48	2785.5	2162.7200000000003	1086.34	43.0	25.5	37.5	6431.5	6738.16	6869.34	3249.5
EC:4.2.1.33	10595.84	17126.38	22828.62	32830.68	24211.56	53089.280000000006	16933.66	55334.2	54584.26	74038.66	26729.520000000004	21987.68	75225.16	18039.18	6594.6	2955.76	4339.0	4723.04	8419.78	7871.799999999999	3524.8	3429.98	1044.72	31995.7	11943.58	11101.56	7781.0	8690.84
