pathway	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
PWY-5896	142.69535428695733	384.0841736587557	8360.873508194685	766.7287636690696	62.81728750952724	1128.1713273544628	2761.977940599256	7706.533425154626	3382.3783100935707	3304.422465748672	2572.1223531096857	4702.564507212315	3092.6179851604866	2868.29817893936	538.6844822491644	296.70578254234	564.187113911404	2098.6065907006355	317.43037062992795	487.58897901173	5427.122082355497	158.41761744451034	117.1222993924702	280.24556415432147	2071.543444985204	5247.749013739429	1945.406853172146	2199.0533246413443	2396.357501389544
PWY-5897	14087.920620436424	2513.340990059232	11138.195665644787	18135.86169198691	19716.63872538793	3492.5066194983538	9533.954362887362	9465.99823372712	7548.9044762230205	8217.914524243275	5194.465414138128	6183.523472999241	4731.222867732879	8037.390094716383	2642.6812486689782	3288.7213809437344	3604.48981312768	7438.6327554691	4258.490182612126	1377.5511087467798	5769.47117631378	1602.4210024086044	1402.9307119160444	1156.240450054422	3256.079418032536	6837.460601748547	3019.9481348806125	2989.680315853667	4329.578552397499
PWY-5898	14087.920620436424	2513.340990059232	11138.195665644787	18135.86169198691	19716.63872538793	3492.5066194983538	9533.954362887362	9465.99823372712	7548.9044762230205	8217.914524243275	5194.465414138128	6183.523472999241	4731.222867732879	8037.390094716383	2642.6812486689782	3288.7213809437344	3604.48981312768	7438.6327554691	4258.490182612126	1377.5511087467798	5769.47117631378	1602.4210024086044	1402.9307119160444	1156.240450054422	3256.079418032536	6837.460601748547	3019.9481348806125	2989.680315853667	4329.578552397499
PWY-5899	14087.920620436424	2513.340990059232	11138.195665644787	18135.86169198691	19716.63872538793	3492.5066194983538	9533.954362887362	9465.99823372712	7548.9044762230205	8217.914524243275	5194.465414138128	6183.523472999241	4731.222867732879	8037.390094716383	2642.6812486689782	3288.7213809437344	3604.48981312768	7438.6327554691	4258.490182612126	1377.5511087467798	5769.47117631378	1602.4210024086044	1402.9307119160444	1156.240450054422	3256.079418032536	6837.460601748547	3019.9481348806125	2989.680315853667	4329.578552397499
PWY-5910	22322.39600400566	3662.7970747522654	11233.54161713298	20401.73148152241	21805.085777524884	4268.738777156083	9524.526268803787	7985.376929315262	4931.202984950981	7401.353358985643	4396.586520138912	5529.13811992925	3130.6446278791645	7392.561672764388	19574.915091855808	24622.583592854066	20268.96661551006	22282.38090236768	21706.731055856097	17617.229030087907	23993.63932387126	12340.249206879023	3433.517744494752	10777.832194644052	4091.644962366148	8714.348287937792	4738.025448780595	8590.208765712434	6864.714367504381
PWY-5913	5727.806678515773	2730.1517751840506	7419.935156591349	5046.979207143653	1884.823043642943	2064.6996363768058	8269.507843651456	7068.314904119633	12889.347594772644	9760.170452637474	7993.624641318732	6420.559323582687	8622.364691118153	10767.954612006492	6874.245725264495	3874.939209725421	3813.8002541557626	6546.2958302632505	4291.4441161877	3760.177459278698	4968.057342808359	2137.050324187797	1635.34062314999	1387.815766840225	5331.244230441856	9516.321815967947	3778.456574673772	3449.4919569755634	7010.083978776695
PWY-5918	8232.280403162918	3941.383413485301	9949.734563845088	12644.177755248817	3727.983353970169	2686.439317085171	8895.625990912617	7679.735178391716	7344.134216204586	8304.572446047217	5149.318408506168	5376.15126732242	4856.021036224975	7989.062578426038	3641.728922178385	2699.3033662392018	2955.540164830788	4582.050999686184	2528.170896494789	1770.4224168763592	3967.8662091248298	1111.3137469388812	1158.7059432805615	948.4950503161028	3338.444526649478	6109.105524922536	2401.50597587496	2419.217031121327	4503.846249069927
PWY-5920	5645.600999904878	2732.9104306249537	7892.324323420496	7717.992819472136	1962.7572532118336	2008.464864564726	4203.78701728714	5808.933072129847	4939.733247729338	4753.487770046315	3969.346014023589	4104.830560701458	3704.450376833116	5099.866797573592	1764.8787396086109	1444.3302559190718	2099.767814023947	1549.8877529559954	1340.4309108979378	1246.5773119452526	994.2630415483223	261.29756946498827	518.8339743949259	349.79455098981816	2116.462088963494	3940.832672730132	1387.6170607410586	1102.2465533137763	2668.257787040516
PWY-5941	222.2499496051485	15.938827640956072	35.8789511580613	102.04629908943494	15.90286276780452	0.0	0.0	0.0	51.84183514863143	0.0	31.89166916535009	7.991174943810554	23.94834824309646	83.44374534354888	0.0	0.0	23.934313501603608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.70938042864288	0.0	0.0	15.975037813255096	0.0
PWY-5971	13183.969303437863	8130.92201144751	13994.253483639364	14441.723511357462	5701.937579515136	4459.707622159428	8569.784722807819	9452.413299506165	12867.209754549784	11191.562390202247	10246.99634289346	8808.641956409163	10178.686051571076	12876.71807259662	17575.70541452283	15976.280948535226	14277.60541054946	21522.63422000805	13905.630647965334	9596.538946650591	15190.308970149455	8067.462955105077	4291.5954875996895	6252.286771665705	7869.047406512504	14789.28069415629	6554.797289782901	8364.777573942836	11812.479109490152
PWY-5973	31336.43427573007	9238.563319415252	20131.82106316744	28502.712357214565	25486.008111864216	6228.890915190128	16302.425327240371	13522.609631591373	20596.14768339788	17437.33691004009	14017.71479470938	11474.918943615496	14461.678717611352	19106.047731447816	30027.62236284011	55063.43221303915	35997.03870459873	36192.31735086571	40341.038893708464	39137.27063437468	61474.28574890794	36302.16300340398	5766.350760128075	30232.770135705287	11600.351583185791	21511.397188185565	9592.809224667952	13780.923892933726	16905.754886301405
PWY-5989	9204.45017677768	7375.340953820915	11299.412057506524	11179.370491199308	3918.500005454817	3666.7476561402927	6865.928795450713	7832.012586159215	11219.009685370893	9754.40997397396	9019.483894329334	7524.998892402461	9224.199947178777	10820.32627696338	11665.467507979793	9057.680657685172	8645.876298442994	14747.40318170134	8280.67669470081	5336.115145327842	8181.464255897675	4401.843793695323	3276.4560115359905	3409.803827098548	6379.272010169957	11809.172338195429	5169.727366883877	6149.994940504398	9546.72732862748
PWY-6071	54.15147024903388	205.0701923666431	3067.612405339483	52.20343403225311	27.917017622483947	256.3907981944871	482.89446985937263	3333.8656466317143	658.2071155285939	576.415210909968	521.1821577385551	1755.8992555686852	791.672074863722	831.0471600419123	72.05849735869192	75.39068280894665	51.53927811734428	373.3574868061515	31.45506679048285	59.75908374983358	3112.62284999958	34.4052939381814	30.67227314423532	30.442011818972134	397.7172552926376	1811.3802635965767	522.4233638277028	675.1227161914202	450.44908536338943
PWY-6107	0.0	63.56062658763759	16.475629405840884	0.0	0.0	0.0	0.0	0.0	11.151258045640724	0.0	0.0	17.901996370235935	45.03467379592169	2.618904178664791	31.067788304475663	22.23725184896848	0.0	5.98523022388519	0.0	0.0	0.0	0.0	3.351508120649652	0.0	0.0	64.47644764476448	0.0	0.0	33.5115424973767
PWY-6121	26978.916282587743	6797.015048911391	17374.408141980286	24200.217084104	23761.11885940394	5412.242891463278	14636.954735152867	12591.898516447927	18365.95039760536	15214.450499089216	11886.905008922366	9986.13525356921	12536.943006668307	16784.628541910974	27768.77063476282	53726.058965655	34203.024684974094	35657.53058301955	39499.56698801913	37631.19229129412	58606.64545373427	35830.118372397075	5284.585817799842	29663.98710740097	10423.022019918437	19673.205501343447	9219.682753583644	13543.906727972608	15126.43307624377
PWY-6122	27668.306467663017	6688.059890926949	17065.06694698924	24603.437544237768	24324.72739523636	5380.723916273295	14659.939988261276	12206.423980006775	18171.37636387031	15051.66175031428	11692.59401979232	9726.087136875196	12342.797901926697	16612.426823903843	28072.1358756266	55182.297798681895	34941.094854529096	35748.183611704524	40366.14006599983	38813.148932373486	59957.803553025165	36891.12720602261	5237.429495437705	30609.92596386866	10341.906647514408	19495.81225296793	9129.7970974784	13605.04015581083	15058.485025242217
PWY-6123	24604.8613448526	5897.315495191324	15163.651977904845	21548.180829224253	21494.67697629741	4814.742652608765	13238.037606180113	10963.39031956076	16911.82562275546	13695.99286528568	10832.683947821446	8767.747974828633	11375.579275281923	15144.248274474116	25666.25768239733	50218.62245655721	31901.83712521776	32613.99485637613	36968.75141587187	35349.044118300786	54594.25561191167	33581.778387323735	4769.103346603742	27840.43224842226	9319.503086007871	17370.989005159983	8172.830961218875	12372.20566738938	13399.305020905624
PWY-6125	27089.663180776377	6594.050834492531	17044.03795996399	23487.167207119648	23155.03215869597	5237.2616064355525	13352.597701342514	11818.22417748457	15129.264710168023	13285.006190791417	10117.387393053184	9139.984191424955	10295.508482173149	14405.997225010162	25436.025799289226	53370.06530702759	34520.2003649675	34909.125140294964	40099.02442706901	36670.709479358105	59338.39610863165	35621.16755085153	5061.231385786803	29552.23569437485	8909.647396197592	17062.177733365847	8306.75305684074	12816.9977534062	13273.76075416281
PWY-6126	27902.739779689	6917.906073367248	17889.176863707144	25319.999839141045	24802.110008269017	5597.97937014728	15220.220683872729	13149.447733358504	18930.37313565057	15666.196060036124	11914.600547002528	10358.844392615183	12667.94569700012	17156.831025545387	26615.23389823287	53717.75134826192	34794.473386802245	35325.41715619367	40527.29236956777	37275.19217003339	58761.42014711456	35880.7447018132	5219.967150805841	29740.35656556264	10401.063489011747	19622.41256763499	9191.649419705616	13554.455477276711	14972.75616373906
PWY-6141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.94128017677065	18.97079383541727	40.70160381912783	0.0	48.4188120128022	39.76654377213156	0.0	8.88888888888889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.72611464968153	27.801487117413107	22.84518828451883	0.0	45.18510208660534
PWY-6143	0.0	0.0	0.0	0.0	0.0	0.0	36.60979980818812	0.0	51.93829900429181	23.798552760040288	38.51511513535382	0.0	18.51286466499136	47.25775888667432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.00495718541651	50.868403861649895	9.595063911385864	0.0	43.65778986136289
PWY-6145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6147	12025.35901307992	5287.250205408079	14195.680090069474	21542.579578690853	19570.6671334038	4446.99880229022	11995.605246488094	10203.341380755322	13504.497890965624	12003.198047408952	9200.875653451876	7818.634739859162	9091.366838621583	12554.796233801777	8520.074327068874	4511.117990471765	4114.073149954703	7394.598444752004	3906.532301191632	4561.327706319083	4585.476959767869	2533.712096002749	2022.906923368382	1736.9617140563084	6024.219161487012	10716.578568974634	4856.322077282974	4473.048108453504	7943.718542237726
PWY-6148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.8502868871799	51.94660626612784	147.13083728764605	0.0	171.9914533196879	116.87313666831952	0.0	10.650252204832048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.27808568609734	103.3259551085603	90.57539443621005	0.0	138.4516738779403
PWY-6151	22013.04738262764	4090.725844925127	13150.74522662127	19919.894365405984	20819.452297533226	4183.575457923782	11066.08924583115	10489.185699089912	11347.708894118236	10498.765635620302	7080.822102571015	7330.54536440008	6975.4288009565	10980.780688277911	22223.434271262053	45326.17820113074	28616.62076693913	28993.01475730428	33815.41543072991	31813.54133072804	50047.73490684492	30518.4817417938	4018.790552522851	25217.308102950297	6792.569538617403	13586.96292210208	6827.305006848848	10580.186843659669	9755.563997040392
PWY-6163	14821.177389343771	5242.935117717058	14997.399938513432	21891.661540656365	19549.34354061653	4523.235496253794	13272.791186412978	11538.145633568249	16813.17460155281	14031.537583079024	10759.71192645238	9175.992336669202	11468.137908655064	15214.21411068138	5519.882744326954	3938.437235572166	4023.480954464801	7307.26026049062	4041.0955785690553	3084.471298325833	5886.08173143266	2196.803937068594	2014.131730376561	1713.563770242219	7533.923285129416	13245.294728955683	5680.69118782462	5006.147254779107	9592.429037390444
PWY-6165	0.0	43.3215063538645	0.0	0.0	0.0	0.0	0.0	0.0	91.02807554323064	39.321484642178255	95.74186335959588	0.0	121.72339867821827	74.43834141498024	0.0	21.26135434581756	0.0	0.0	5.328937712056505	0.0	0.0	0.0	0.0	0.0	51.210087847618574	73.08044952276742	56.785846721539485	0.0	92.9628995395448
PWY-6167	0.0	107.10036164185551	0.0	0.0	0.0	0.0	0.0	0.0	94.09596671119132	38.83687679586411	105.81280363843156	0.0	144.56174177635842	93.83107116847503	0.0	26.56854804927124	0.0	0.0	6.660916291370798	0.0	0.0	0.0	0.0	0.0	52.96295395901021	75.00620876465558	67.94528916144843	0.0	99.21489350863652
