function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:2.1.3.6	2800.0	39.13	364.0	338.8	0.0	82.0	113.0	524.8699999999999	76.16	165.66	218.80000000000004	545.74	94.0	386.2	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.33	58.67	13.0	0.0	29.33
EC:2.1.3.9	26.0	0.0	19.0	17.0	0.0	0.0	62.0	15.0	104.0	32.0	59.0	19.0	60.0	8.0	0.0	0.0	0.0	5.0	0.0	2.33	0.0	0.0	54.0	0.0	0.0	67.0	12.0	0.0	42.0
EC:2.1.4.1	10.0	8.0	0.0	0.0	0.0	0.0	6.0	0.0	5.5	0.71	0.0	0.0	0.0	0.0	23.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.10.1.1	11722.83	5932.6	12937.88	20628.54	19387.16	4230.0	9609.98	9536.01	7587.29	9084.7	5736.99	6533.9800000000005	5647.99	8588.53	5375.84	3883.72	3938.02	7356.6	3951.02	2257.45	4108.11	1787.06	1672.91	1371.38	3515.95	6401.13	2816.56	2721.01	5073.29
EC:2.2.1.1	18739.41	6608.11	19959.94	25259.33	19897.66	5463.31	16598.22	15075.8	26892.87	18711.96	14723.06	12239.58	17608.920000000002	22123.63	9009.98	5089.6900000000005	5170.07	9131.509999999998	4841.35	5417.73	27483.41	2954.76	2702.25	2336.53	11779.1	20113.59	7936.339999999999	6948.160000000001	14194.22
EC:2.2.1.10	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	32.0	0.0	41.5	28.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	25.0	0.0	30.0
EC:2.2.1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.2.1.2	11782.67	4415.15	15456.88	19957.28	18950.41	3699.01	10889.1	12260.96	11814.72	10793.64	7310.19	7884.55	7865.8	10757.13	7257.58	3933.14	3626.07	6781.629999999999	3529.4300000000003	3884.98	6748.709999999999	1957.46	1636.31	1380.63	4864.6900000000005	9449.02	3622.45	3444.2	6552.57
EC:2.2.1.6	47678.9	18214.26	47367.87	65370.65	59674.28	13128.59	34867.119999999995	39060.77	39694.82	35706.69	25757.46	26544.910000000003	26859.550000000003	36716.350000000006	35183.21	55929.17999999999	40148.9	49475.37	44503.36	38530.01	71849.16	35093.64	8697.93	28592.82	19976.83	37612.32	17274.0	19988.76	26901.3
EC:2.2.1.7	4237.5	3287.93	8441.96	3773.95	824.1599999999999	1142.5	6457.159999999999	4918.530000000001	15166.25	9272.2	8641.49	5110.37	10254.34	11384.24	3692.17	3177.4700000000003	4241.64	5954.3	4726.18	1925.95	3869.36	1572.06	1535.98	1318.48	7117.21	12191.04	4774.599999999999	4175.530000000001	9224.96
EC:2.2.1.9	11354.7	1487.81	9070.95	17008.800000000003	18355.8	2950.34	9081.53	9446.75	7481.629999999999	7662.240000000001	4834.41	5909.400000000001	4895.45	7366.34	1248.9199999999998	1746.92	1969.33	4434.6900000000005	2463.32	659.53	3605.49	864.8600000000001	822.9100000000001	646.88	2776.15	5454.39	2266.54	2047.23	3652.93
EC:2.3.1.1	12631.23	6902.67	12450.41	21729.65	19673.8	4682.74	12067.86	10277.37	13401.32	12452.08	9103.98	7935.26	9273.84	12776.84	6934.49	4543.72	4342.349999999999	8490.51	4381.83	3012.54	4341.02	2278.06	1976.03	1681.1799999999998	6166.040000000001	10294.16	4257.07	3860.68	8404.130000000001
EC:2.3.1.101	0.0	3.67	1.33	79.66	3.5	0.0	0.0	0.0	95.0	22.0	68.5	0.0	94.0	62.0	22.0	16.0	0.0	25.66	8.0	3.0	2.33	8.0	0.0	0.0	41.34	57.0	44.0	0.0	60.0
EC:2.3.1.102	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
