function	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
K06304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06305	0.0	0.0	0.0	0.0	0.0	102.0	45.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	10.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	12.0	0.0	0.0
K06306	6.0	1454.17	2010.0	1019.67	246.5	19658.119999999995	2412.33	17498.6	684.0	1335.0	6786.16	1990.17	3151.66	677.0	1166.5	429.0	396.0	26.0	596.5	1034.67	407.5	445.6	17.0	4695.5	213.2	487.0	88.0	34.0
K06307	0.0	0.0	249.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	24.0	0.0	0.0	10.0	25.0	6.0	0.0	30.0	37.0	0.0	15.0	0.0	0.0	0.0
K06308	0.0	0.0	0.0	0.0	0.0	59.0	27.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
K06310	0.0	160.67000000000002	856.0	165.67000000000002	9.0	309.67	65.33	149.0	0.0	189.5	172.66	347.67	263.66	364.0	178.0	4.0	0.0	3.0	0.0	16.67	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
K06311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	101.0	4.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06312	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06313	0.0	0.0	0.0	0.0	0.0	59.0	27.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	12.0	0.0	0.0
K06314	0.0	0.0	0.0	0.0	0.0	59.0	27.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	12.0	0.0	0.0
K06315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06317	2.0	92.0	1532.0	37.0	7.0	15719.3	928.5	14154.1	590.5	1025.17	5645.83	2627.42	3628.33	797.5	1160.0	8.0	36.0	40.0	314.5	597.0	0.0	59.6	37.0	4586.0	178.7	31.4	4.0	0.0
K06318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06320	0.0	210.67	1529.0	165.67000000000002	9.0	13826.17	78.33	12177.0	429.0	801.0000000000001	2818.66	1802.67	2636.66	648.0	1024.0	0.0	0.0	0.0	26.0	154.67	0.0	0.0	0.0	4232.0	19.0	19.0	4.0	0.0
K06321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
