function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
K07700	6.0	24.5	2033.75	11.45	5.25	122.2	84.04	2511.67	197.83	127.03	96.16	1106.75	236.12	192.18	5.75	12.75	15.1	339.59	10.92	25.7	5011.549999999999	14.4	3.5	15.25	127.71	878.51	259.0	317.08	125.79
K07701	6.0	16.75	2033.75	11.45	5.25	105.35	73.37	2504.0	138.32999999999998	99.44	57.33	1083.0	189.48	129.34	5.75	12.75	15.1	175.87	10.25	16.7	2510.69	14.4	3.5	3.25	78.62	846.34	237.0	315.25	89.87
K07702	6.0	24.5	2033.75	11.45	5.25	122.2	86.71000000000001	2513.0	188.16	127.03	96.16	1106.75	244.28	200.01	5.75	12.75	15.1	339.59	10.92	25.7	5011.549999999999	14.4	3.5	9.25	130.04000000000002	882.68	263.33	317.08	130.79000000000002
K07703	6.0	16.75	2033.75	11.45	5.25	105.35	73.37	2504.0	138.32999999999998	99.44	57.33	1083.0	189.48	129.34	5.75	12.75	15.1	175.87	10.25	16.7	2510.69	14.4	3.5	3.25	79.29	846.34	237.0	320.58	89.87
K07704	8345.5	1150.0	6891.5	16526.0	18260.0	2522.5	6766.12	5560.0	2289.6400000000003	4535.75	1795.26	3025.0	1188.0	3714.25	3620.0	884.0	189.0	685.3299999999999	270.0	2079.0	617.0	546.0	204.0	318.0	299.0	540.38	138.0	139.75	429.55
K07705	8332.5	1169.0	5441.5	16541.0	18228.0	2485.5	6981.62	5668.0	3018.04	4825.85	1945.66	3080.8	1495.6	3906.85	3620.0	884.0	189.0	683.3299999999999	275.0	2055.5	591.0	520.0	156.0	290.0	595.4	850.88	249.0	193.75	599.88
K07706	22161.9	2722.79	8394.23	19114.2	20502.0	3715.2	7780.25	7224.21	3724.48	5634.4800000000005	3189.05	4731.42	1870.17	5673.450000000001	23917.4	44147.95	27422.0	24658.33	33174.0	32872.5	47073.5	30035.5	3214.62	24710.0	2870.49	6411.26	3923.43	7913.75	4945.42
K07707	27454.5	3848.59	9122.16	20163.6	22229.0	4525.5	7974.75	7528.41	3336.48	5577.9800000000005	3399.8499999999995	4532.82	1583.5	5535.650000000001	37699.0	78538.75	47589.0	44494.33	57060.0	55943.5	84990.5	53548.5	5571.82	44477.0	4515.99	10636.26	6839.43	15351.75	8152.42
K07708	2217.83	2676.1	4459.88	2579.54	531.5	786.75	1520.47	3003.5	2578.01	1950.33	2199.25	2297.67	2269.39	2462.84	2356.42	1365.55	1495.0600000000002	1865.62	1000.34	1151.62	2796.69	484.4	510.25	467.05	1589.91	3020.2000000000003	1067.91	1203.75	2186.12
K07709	6.0	16.75	2035.08	11.45	5.25	105.35	91.17	2502.67	188.50000000000003	133.59	87.33	1089.0	201.67	122.09	5.75	12.75	12.5	182.2	16.92	12.5	2508.4	13.0	3.5	3.25	100.67	902.57	241.5	306.25	127.87
