pathway	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
ARGSYNBSUB-PWY	11868.379888379632	15142.872994715484	15902.500972449832	20877.57561968632	16675.66467083087	28857.33404436989	9477.796621193029	28697.194396525083	10879.32766754896	13163.522430320929	15181.6298636887	10322.707069535994	14530.644639743015	15801.837697743766	8144.61053771405	3679.252006954496	4317.02638523161	4651.259994012762	8721.154039586974	6587.516759190274	3867.148948795219	3385.583565210392	1555.0715498744723	12293.759237436474	7995.417849485823	7306.990131076807	6085.344906576294	4358.920827631417
ARO-PWY	13809.844197194798	11706.232353690111	16270.57506936976	19571.280695429043	14393.027707667445	32141.182722532056	11945.243573385884	32516.81090809459	18755.178538325086	23367.359744174468	16069.066655505618	12111.843425304987	23628.745705170582	11153.52900299363	4621.310392873964	2320.973986641264	3208.563817390716	3242.2557723714785	5826.416900687388	5387.162217640221	2553.200650377075	2496.9975316523887	1148.4177771808802	15922.05853675886	7268.334681462261	6725.824506745044	4862.269048608312	5058.561385558608
ASPASN-PWY	392.4302284263843	3116.3350885369755	12091.378653986336	9852.96237078625	9376.444646104232	26754.203833428823	8751.645715861256	27680.59235594692	22592.29373649146	29002.098378219107	16666.299978705032	13157.33833384138	30139.85264546293	17028.129362984375	4802.17776031258	2373.4636594477697	3458.283200151488	3342.574752865923	8423.465807621178	9041.391193674275	3911.864735399856	3387.7417478134544	1157.3672608741972	22553.276370377887	8211.150894854529	6986.264449711442	5969.792029869437	4558.802605668824
AST-PWY	213.89025611987103	63.34383540844215	4049.676629117641	5586.070868844852	5925.183877014147	1749.7833850786465	4224.286095857807	2061.7042536901467	2033.832729180778	2031.1746758354327	864.6117445916097	1485.4126308687937	1159.2471817767462	35.525392237819986	47.03947368421053	429.040289723857	669.0	645.2580797478684	1465.8374589091093	1090.4409952566562	575.2930612012459	64.58563535911603	34.05120481927712	2.75	3328.0674635993446	3481.1226002443696	3512.2524612188354	1650.4127302778147
BIOTIN-BIOSYNTHESIS-PWY	510.7751474588878	184.1318274429948	7879.666219173706	10521.932949584365	10801.53997835608	6357.60904356987	7392.719877358302	6927.543237176517	9321.946943568855	10426.167841368944	3676.263668399949	5680.138020376129	6711.035914336088	517.6043670665138	572.419887073379	1192.3057144913157	1828.0210466655767	2631.3387888826715	4156.616754882559	3443.0483753677017	2239.0444163204847	805.5214802908952	662.3648018572532	554.1076454713007	6919.19761351655	6503.695679422503	6106.320251970109	4438.10293261807
BRANCHED-CHAIN-AA-SYN-PWY	11378.328653687317	8881.16680791143	16995.08663118404	23822.303397520274	19104.94430378734	32346.14395180304	10956.105399922424	33373.079549631184	25524.196762566367	32822.358267695075	17008.387196674637	14453.775889239703	32458.19792614333	13558.259592230072	5559.236653321071	3159.824791654583	4067.047354014412	4592.609221377198	7816.234157962109	7617.19872948866	3235.347039841041	2459.7821648922777	1022.380826678281	20475.216189062587	9954.312711114731	8862.211051908323	6485.236664865037	7524.405094144527
CALVIN-PWY	29665.082043344155	27999.90312658622	27852.476252846427	27830.24023989601	24713.066333656054	46188.209500043245	16592.11826429335	45535.81835964637	26521.687199227203	33677.46243113346	22353.163532164428	19091.31995198349	37304.88804439127	24980.37642287436	13452.04106436056	8355.073220356513	10435.850949294563	11299.2258782513	17603.083565198864	15604.385862251182	10118.89757573674	7417.850266554892	4884.090804093426	25390.986665329907	17706.076881871264	14971.98647337364	13041.552085514564	12445.750702835248
CATECHOL-ORTHO-CLEAVAGE-PWY	165.160530191458	53.69649805447472	66.48888888888888	232.85	224.86	253.970217831282	88.19922634113112	8.506329113924052	0.0	14.481012658227847	0.0	18.79	2.0	12.0	22.0	425.00000000000006	669.0	621.99	40.0	1078.7760922123637	18.0	37.0	17.181494661921707	0.0	8.765217391304347	6.31578947368421	0.0	0.0
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	13.832475222734034	439.8310214430738	3596.010312769811	1357.1107329321949	113.34051362273082	10966.787098396022	2205.4398142890627	11004.507747684607	2276.3292418744177	2939.592715154988	4508.677086641029	2406.79742728276	2837.032482573615	306.6756580609224	336.9430601534588	291.0812720234151	151.74972339462056	78.61875941944903	818.6539568917182	1310.8807280106566	157.2118682376177	321.32037510205595	107.66926117241977	372.2548756750688	541.5429192128579	384.7939054805402	4.632798563559844	40.43577140196852
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.202663810607596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY	41098.35330504242	36450.841083613625	22639.09333471264	22835.952981181086	22728.21481460048	27257.71746789074	10144.561266557776	27488.92984030516	25549.69614293285	32653.7322217764	16177.99903258841	14900.961924903726	34084.77451964547	46007.42543293607	42694.82342745359	32816.50583823885	30159.88470808329	26574.55848488384	34653.7016208004	32085.928936288325	35568.012735731085	34874.79187013447	40615.4077842064	21597.5827298521	23954.45530922184	17477.365963021744	15267.499803529912	24401.303597214293
COBALSYN-PWY	235.69989588862703	8860.26589908133	8355.360292782583	7171.669128232777	6288.198085938522	12209.767081164791	7704.3125682148675	11564.146595179329	18606.791620157568	25524.565061313784	7755.480155153066	4931.961180879582	25214.10140348464	5673.5900008794	2276.011911614712	1007.9624712996656	1192.5395412574558	767.0821771059332	3139.626016890351	2874.959776328487	1119.4673124782369	887.2044491276268	123.29029575959142	2181.0609865999395	4192.505373101905	4012.5938464890687	3614.643201530291	1727.1812722955272
CODH-PWY	0.0	0.0	0.0	0.0	0.0	60.925281784658935	24.945956696181515	0.0	11.99608930506408	13.9960051509095	0.0	0.0	484.5952308146872	1325.8928206259147	0.0	0.0	63.93071015326319	0.0	11.997951055846537	0.0	0.0	0.0	0.0	0.0	12.99566886111037	0.7999761388124585	0.0	0.0
COLANSYN-PWY	435.21317629103794	3119.767442496144	9416.623226310316	10688.9433354152	10477.299628843582	13232.116462664875	8235.06506978333	12473.38269830496	17954.414819743884	21704.20017838439	8074.181601007422	9364.099601572225	20705.310471659675	4537.739194585255	2681.116701334314	1234.6699203902715	1586.4371857954534	316.81607324078414	4868.655822518352	4311.038109155953	2584.237387409464	1155.7783391876858	191.51457209264169	12155.037670899805	7004.8333842766615	6875.530884238379	6368.082132746731	3999.168203624198
COMPLETE-ARO-PWY	14696.092950747476	12437.310623101488	16841.584649456898	20578.830273127423	15144.72959741062	33724.28535881407	12307.791258628113	34119.34281525933	19933.922448162844	24922.207756920343	16772.97441299711	12609.822195378383	25162.999766524543	12201.526772885958	5179.149830638948	2618.8981738358707	3597.465224085814	3625.218240945804	6466.928807141269	5976.0388699396	2880.71731084174	2816.486195359972	1305.768789261676	16777.92328682813	7894.438489354383	7223.837106317571	5312.631866418185	5580.560372217137
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	0.0	21.994187602523112	24.721164666834444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
