"","2","11","22","25","40","46","073A","075A","081A","083A","085A","088A","097A","105A","106A","107A","111A","115A","119A","120A","124A","129A","134A","135A","137A","140A","146A","151A","156A","158A","161A","162A","167A","215A","226A","227A","228A","235A","258A","259A","260A","261A"
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9",48,29,28,14,15,7,104,4,0,14,0,166,326,0,0,0,71,64,46,62,51,202,82,17,161,35,57,0,0,182,618,188,292,11,0,0,0,0,0,126,81,26
"Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma",5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,360,316,139,14,13,121,373,201,529,48,14,0,56,71,0,0,15,0,0,0,0,0,0,3,58,32
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia",0,0,0,0,0,0,53,0,0,10,0,0,0,0,16,0,131,64,230,204,256,64,45,94,24,32,116,513,51,8,16,43,114,9,0,0,0,0,0,90,32,101
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella",0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,26,9,0,88,19,0,132,58,0,0,171,357,255,429,201,0,0,0,0,0,36,363,192,87
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,31,6,15,0,0,0,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas",164,79,75,55,58,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,0,0,0,0,0,0
"Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter",93,52,45,30,49,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter",49,35,36,19,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus",0,0,0,0,0,0,62,45,8,0,0,138,0,0,0,0,226,29,199,165,434,128,63,76,117,98,81,24,31,76,99,71,226,0,0,0,0,0,0,0,0,0
"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia",58,40,46,33,26,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group;NA",6,14,0,0,8,10,0,0,0,0,0,0,0,0,0,0,142,1253,436,210,163,1319,394,912,543,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
