"","071B","073B","075B","077B","081B","083B","085B","088B","091B","093B","097B","100B","101B","105B","106B","107B","215B","218B","219B","220B","224B","226B","227B","228B","235B","242B","245B","246B","248B"
"Empedobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19527.782709036,0,58583.3481271081,30179.3005503284,8876.26486774365,72785.371915498,72785.371915498,81661.6367832416,39055.5654180721,12426.7708148411,49707.0832593645,88762.6486774365,31954.5535238772,86987.3957038878,76335.8778625954
"Treponema_2",0,0,0,0,0,0,0,0,0,0,0,8876.26486774365,0,0,0,0,108290.431386473,90537.9016509853,14202.0237883898,143795.490857447,143795.490857447,60358.6011006568,83436.8897567903,21303.0356825848,69234.8659684005,122492.455174862,58583.3481271081,95863.6605716315,69234.8659684005
"Flavobacterium",5325.75892064619,0,0,26628.794603231,0,0,0,0,0,0,0,0,28404.0475767797,0,0,0,85212.1427303391,47931.8302858157,0,46156.577312267,30179.3005503284,39055.5654180721,37280.3124445233,15977.2767619386,78111.1308361441,47931.8302858157,37280.3124445233,40830.8183916208,33729.8064974259
"Providencia",0,0,0,0,0,5325.75892064619,0,7101.01189419492,0,0,0,0,0,0,0,0,110065.684360021,31954.5535238772,0,26628.794603231,47931.8302858157,30179.3005503284,19527.782709036,10651.5178412924,51482.3362329132,60358.6011006568,30179.3005503284,67459.6129948518,33729.8064974259
"Comamonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51482.3362329132,28404.0475767797,7101.01189419492,47931.8302858157,37280.3124445233,42606.0713651695,5325.75892064619,15977.2767619386,12426.7708148411,83436.8897567903,28404.0475767797,97638.9135451802,33729.8064974259
"Euglenida",33729.8064974259,15977.2767619386,5325.75892064619,97638.9135451802,8876.26486774365,12426.7708148411,0,0,24853.5416296822,39055.5654180721,0,1775.25297354873,117166.696254216,5325.75892064619,49707.0832593645,15977.2767619386,0,0,0,0,0,3550.50594709746,0,0,8876.26486774365,0,0,0,0
"Rhodospirillales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10651.5178412924,12426.7708148411,0,51482.3362329132,17752.5297354873,8876.26486774365,1775.25297354873,3550.50594709746,1775.25297354873,0,3550.50594709746,1775.25297354873,8876.26486774365
"Ruminobacter",0,0,0,5325.75892064619,1775.25297354873,0,0,0,0,0,0,0,0,0,0,0,47931.8302858157,63909.1070477543,1775.25297354873,67459.6129948518,51482.3362329132,74560.6248890467,37280.3124445233,19527.782709036,55032.8421800107,85212.1427303391,8876.26486774365,99414.1665187289,40830.8183916208
"Ruminococcaceae_UCG_009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876.26486774365,0,1775.25297354873,39055.5654180721,1775.25297354873,8876.26486774365,7101.01189419492,1775.25297354873,0,15977.2767619386,0,47931.8302858157,0
"Aerococcus",7101.01189419492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15977.2767619386,14202.0237883898,0,35505.0594709746,17752.5297354873,24853.5416296822,17752.5297354873,5325.75892064619,55032.8421800107,19527.782709036,21303.0356825848,47931.8302858157,33729.8064974259
