#NAME	139A	140A	141A	142A	143A	144A	145A	146A	147A	148A	149A	150A	151A	152A	153A	154A	155A	156A	157A	158A	159A	160A	161A	162A	163A	164A	165A	166A	167A	168A	169A	249A	250A	251A	252A	253A	254A	255A	256A	257A	258A	259A	260A	261A	262A	263A
Rodentibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43719.66948	84378.9621	51589.20999	146023.6961	121977.8778	47217.24304	63393.52074	833296.9003	127661.4349	1774581.384	65142.30752	38036.11245	39784.89923	11367.11406	8306.737201
Parabacteroides	728806.8902	1035281.773	1311.590084	0	1102610.064	108861.977	874.3933896	1028286.626	0	0	0	0	96183.27285	2623.180169	0	0	0	0	0	0	0	2185.983474	932540.55	0	0	1311.590084	28417.78516	483976.7411	1748.786779	0	0	634372.4041	1493901.106	97494.86294	436322.3014	0	137279.7622	0	0	2217461.636	2687885.28	557862.9826	235211.8218	534254.361	814934.6391	703012.2852
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66453.89761	0	193678.1358	0	0	1748.786779	0	1748.786779	177064.6614	0	0	0	874.3933896	198487.2994	206356.8399	182748.2184	1263061.251	490097.4949	643990.7314	427141.1708	0	0	0	318279.1938	320027.9806	270187.5574	429327.1543	706509.8588
Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1029161.02	32789.75211	288987.0153	306037.6864	443754.6452	345822.5856	1209286.058	1548113.496	1053206.838	847287.1945	69077.07778	0	0	1058890.395	75197.8315	974511.4327	507585.3627	546495.8685	308223.6698	909369.1252	380798.3212	423643.5973	508459.756	0	943033.2707	18362.26118	222970.3143	496655.4453	443754.6452	587155.1611	451186.989
Prevotellaceae_UCG_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14427.49093	13990.29423	12678.70415	25357.4083	21422.63804	12678.70415	0	8743.933896	6557.950422	437.1966948	6120.753727	7432.343811	16176.27771	4371.966948	5246.360338	11804.31076	41970.8827	83504.56871	87002.14226	44156.86617	80881.38854	82192.97862	76072.22489	0	58147.16041	0	59458.75049	111485.1572	132470.5985	65142.30752	101429.6332
Lachnoclostridium	44594.06287	15739.08101	20548.24466	0	19236.65457	3060.376864	5246.360338	31040.96533	3934.770253	13990.29423	35412.93228	0	26668.99838	43282.47278	42845.27609	10492.72068	3497.573558	3060.376864	13115.90084	874.3933896	0	56835.57032	21859.83474	40659.29262	42845.27609	52900.80007	50277.6199	95308.87946	53775.19346	68639.88108	25794.60499	31478.16203	13553.09754	39347.70253	16176.27771	98369.25633	43282.47278	25794.60499	0	109736.3704	0	157390.8101	66453.89761	46780.04634	82192.97862	106238.7968
Muribaculum	125912.6481	94871.68277	474795.6105	86564.94557	146023.6961	135968.1721	156516.4167	148646.8762	187557.3821	0	0	0	0	0	0	118043.1076	474795.6105	45031.25956	0	10929.91737	4809.163643	1748.786779	10055.52398	413150.8766	81318.58523	147335.2861	33226.9488	530756.7875	288549.8186	649237.0918	83941.7654	0	0	7869.540506	0	0	5246.360338	0	0	0	0	0	35850.12897	0	0	0
Alistipes	163948.7605	198487.2994	90062.51913	3497.573558	357189.6996	84378.9621	42845.27609	38910.50584	402658.1559	0	69514.27447	0	13990.29423	28854.98186	7869.540506	23608.62152	2623.180169	14427.49093	101866.8299	214663.5771	139028.5489	42845.27609	47654.43973	147335.2861	12678.70415	226467.8879	473484.0205	28417.78516	39347.70253	17925.06449	233463.035	344073.7988	574039.2603	533379.9676	79569.79845	309098.0632	136405.3688	107113.1902	0	13115.90084	0	257946.0499	461242.513	435447.908	337078.6517	427578.3675
Anaerotruncus	30603.76864	10929.91737	3497.573558	6995.147117	6995.147117	17487.86779	0	0	4371.966948	0	0	0	0	0	0	25357.4083	30166.57194	12678.70415	27980.58847	11367.11406	21859.83474	0	2185.983474	0	0	3934.770253	7432.343811	0	5683.557032	0	874.3933896	13990.29423	15301.88432	21859.83474	12678.70415	45468.45626	30603.76864	7432.343811	56398.37363	137279.7622	3497.573558	47217.24304	47217.24304	21422.63804	50277.6199	62956.32405
Clostridium_sensu_stricto_1	0	0	4371.966948	5683.557032	0	0	0	0	5683.557032	0	0	0	0	0	0	1311.590084	0	2623.180169	21859.83474	9618.327285	10055.52398	10929.91737	9618.327285	10929.91737	31040.96533	5246.360338	7869.540506	10055.52398	4809.163643	2185.983474	6995.147117	46342.84965	23171.42482	8743.933896	17050.6711	12678.70415	4809.163643	20548.24466	26668.99838	7869.540506	0	0	11367.11406	3497.573558	5246.360338	20111.04796
