#NAME	108A	109A	110A	111A	112A	113A	114A	115A	116A	117A	118A	119A	120A	121A	122A	123A	124A	125A	126A	127A	128A	129A	130A	131A	132A	133A	134A	135A	136A	137A	138A
Parabacteroides	15385.8612	14171.18795	14171.18795	12551.62361	8502.71277	2834.23759	82597.7812	4453.801927	8907.603855	809.7821686	5263.584096	22269.00964	23888.57397	2834.23759	41703.78168	6073.366264	31581.50458	10122.27711	6073.366264	0	0	0	0	33605.96	0	44942.91036	0	404.8910843	0	0	6073.366264
Odoribacter	0	0	0	0	0	0	183820.5523	102842.3354	253866.7099	129970.0381	256296.0564	146975.4636	117823.3055	91505.38505	103652.1176	209733.5817	130374.9291	161956.4337	136853.1865	230383.027	217831.4034	207709.1262	173698.2752	104057.0087	91505.38505	198396.6313	114584.1769	140092.3152	83002.67228	112964.6125	159931.9783
Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310956.3527	189084.1364	361567.7383	118228.1966	206089.5619	122277.1075	159527.0872	314600.3725
Prevotellaceae_UCG_001	0	0	0	0	0	0	272896.5908	212162.9282	214592.2747	127945.5826	300024.2935	326342.2139	548222.5281	264798.7691	332820.4713	238885.7397	236861.2843	475342.133	209328.6906	159931.9783	121872.2164	117013.5234	221475.4231	247793.3436	124706.454	208923.7995	76929.30602	295165.6005	123491.7807	200016.1956	227143.8983
Lachnoclostridium	35225.52433	48586.93012	30771.72241	94339.62264	38059.76192	61138.55373	140092.3152	64377.6824	305287.8776	174103.1662	42108.67277	90695.60288	80573.32578	17005.42554	27127.70265	21054.33638	49396.71228	38464.65301	46967.36578	302453.64	267633.0067	197991.7402	244149.3238	29557.04915	66402.13782	161551.5426	73690.17734	45347.80144	78953.76144	103247.2265	45347.80144
Muribaculum	138472.7508	65997.24674	106081.4641	44942.91036	42108.67277	50206.49445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108915.7017	82192.89011	88671.14746	61543.44481	16600.53446	21054.33638	2834.23759	53445.62313
Alistipes	246173.7793	293546.0361	196372.1759	159931.9783	227143.8983	172483.6019	286257.9966	191108.5918	650659.9725	536480.6867	1063243.987	500040.4891	298404.7291	364806.867	264798.7691	456717.1431	209733.5817	391934.5696	359543.2829	512592.1127	447404.6481	483844.8457	511782.3306	246173.7793	308527.0062	321483.5209	215402.0568	345776.986	175722.7306	423516.0742	534456.2313
Anaerotruncus	0	0	1619.564337	0	6073.366264	8502.71277	13361.40578	13766.29687	80573.32578	108510.8106	7288.039517	6883.148433	3644.019759	12146.73253	5668.47518	1214.673253	1619.564337	2024.455421	4048.910843	66807.02891	89076.03855	23483.68289	47372.25686	2024.455421	13766.29687	55065.18746	18624.98988	3239.128674	15790.75229	50206.49445	1619.564337
Clostridium_sensu_stricto_1	160741.7605	231192.8091	31581.50458	0	0	0	4453.801927	0	0	3239.128674	0	0	12551.62361	26317.92048	9717.386023	0	21864.11855	5263.584096	8097.821686	0	0	8502.71277	0	579804.0327	89885.82071	27127.70265	658352.9031	533646.4491	569681.7556	38464.65301	589116.5277
Romboutsia	168839.5822	184630.3344	9717.386023	0	0	0	3644.019759	0	0	4048.910843	0	0	47372.25686	23078.79181	32391.28674	0	24293.46506	0	26722.81156	0	0	2834.23759	809.7821686	196372.1759	14171.18795	42513.56385	222690.0964	56684.7518	0	2429.346506	79358.65252
