feature,t-statistic,p-value
mfa181,0.819210004239521,0.4218668477063158
mfa201,0.9945956372671333,0.3312559288467818
mfa221,0.10420521381226701,0.9179953215646965
mfatot,0.7904686394491082,0.43809029634833296
natoco,0.7563954780893055,0.45781437938941427
nccglbr,0.36918667920626663,0.715684922347908
nccglgr,0.36889025436108613,0.7159025956024766
niacin,1.2346662205368928,0.23059222842876906
niacineq,1.2114597286918583,0.23917575492670434
nitrogen,1.1019894522743003,0.2829364222051136
omega3,1.3536815803864413,0.1902292909739737
oxalic,-0.0905765692518486,0.9286874407729035
oxalicm,0.038945384020050926,0.969301805769825
pantothe,0.975535891898059,0.3403990367788353
pectins,0.9028631111897061,0.3768387267460501
pfa182,1.4426540447658112,0.16386846398196458
pfa183,1.448093024714611,0.16235760434042795
pfa183n3,1.468069396170169,0.15690501150391234
pfa184,0.054582169318710405,0.9569872930342143
pfa204,0.4972959653503308,0.624147134849655
pfa205,-0.23972785710667732,0.8128656688027611
pfa225,0.13534105819326311,0.8936311253238121
pfa226,0.07601757159928736,0.940124679577169
pfatot,1.4341816389058826,0.16624457264329218
phenylal,1.089735091888175,0.2881772043406648
phosphor,0.9386764704535953,0.35856870820636233
phytic,1.710656133304234,0.10187867037250005
pinitol,1.7443351365302957,0.09572130544166776
potass,0.8500212240608944,0.4049006640937779
proline,0.9764235836030465,0.33996938712504354
protanim,0.5876251914980954,0.563049898431137
protein,1.0732738375535764,0.29532711613833046
protveg,1.818557385039219,0.08327133504690144
retinol,1.1419206699151634,0.26634088887954366
rgrain,1.143504120585694,0.26569791313693847
ribofla,0.6579745788129824,0.517703028405494
sacchar,,
satoco,1.5006162945109445,0.14834104339879786
selenium,1.012662427981218,0.3227477322176515
serine,1.1435363024372884,0.2656848572754278
sfa100,0.5856076371153278,0.5643801958693471
sfa120,0.428654121073371,0.6725398453866605
sfa140,0.4917039629356285,0.6280289294841395
sfa160,0.767646179757753,0.4512431378890789
sfa170,0.41104935579557417,0.6852007371969565
sfa180,0.6145413953111358,0.5454591165904541
sfa200,1.031719046118039,0.31394034674919036
sfa220,1.3555383074866336,0.18964674834661732
sfa40,0.3829531821041262,0.7056033776962607
sfa60,0.9197441502904765,0.36815136481761124
sfa80,1.034342493941495,0.31274126924315615
sfatot,0.6881852568797912,0.4988682855752544
sodium,0.6823160859145253,0.50249659289444
solidfat,0.5409276606090253,0.5942495276602692
sorbitol,0.045606566906264544,0.9640547486225338
starch,1.459614298962704,0.1591944156291654
sucpoly,-0.34773915253007076,0.7314973864161853
sucrlose,,
sucrose,-0.5124057924294827,0.6137144388237965
tagatose,-0.36597666109664845,0.7180434465658452
tfa161t,-0.22686053180918148,0.8227260094311926
tfa181t,0.8703543167100409,0.3939472850773589
tfa182t,0.38805619753079357,0.7018802359837946
tgrain,1.4150999408160498,0.17169784878141853
thiamin,1.0538460977122834,0.30392837428761965
threonin,1.040946356314187,0.30973723262100894
