feature,t-statistic,p-value
HEI2010_Protein_Foods,50.0,0.6806281052365084
HEI2010_SeaFoods_PlantProteins,45.5,1.0
HEI2010_Fatty_Acids,35.5,0.5015942474635695
HEI2010_Refined_Grains,49.0,0.7822402976549392
HEI2010_Sodium,56.5,0.3920174360171702
HEI2010_Empty_Calories,38.5,0.6518132353345862
HEI2015Score,35.0,0.49095069690035364
HEI2015_Fruit,39.0,0.6687479223356416
HEI2015_Whole_Fruit,38.0,0.6078300686155347
HEI2015_Veg,36.5,0.5337103938972487
HEI2015_Greens_Beans,36.5,0.5381605210539457
HEI2015_Whole_Grains,45.5,1.0
HEI2015_Dairy,49.5,0.7649170274339896
HEI2015_Protein_Foods,50.0,0.6806281052365084
HEI2015_SeaFoods_PlantProteins,43.0,0.9057052038002991
HEI2015_Fatty_Acids,35.5,0.5015942474635695
HEI2015_Refined_Grains,49.0,0.7822402976549392
HEI2015_Sodium,56.5,0.3920174360171702
HEI2015_Saturated_Fat,29.0,0.2474991490143067
HEI2015_Added_Sugars,47.0,0.9081327856051435
A_BEV,37.0,0.553768164746993
A_CAL,35.0,0.4342867309854821
acesupot,37.0,0.49254560862849284
ADD_SUG,56.0,0.4460162263365925
addsugar,58.0,0.3630419923326102
adsugtot,58.0,0.3630419923326102
alanine,57.0,0.4032809295967191
alcohol,39.0,0.6811001965185989
alphacar,47.0,0.9138458795209368
alphtoce,43.0,0.9138458795209368
alphtoco,43.0,0.9138458795209368
arginine,55.0,0.49095069690035364
ash,46.0,0.9712621474635205
aspartam,33.0,0.36969311026793317
aspartic,59.0,0.3251805402835151
avcarb,62.0,0.22681208951231835
betacar,37.0,0.587357722369164
betacryp,41.0,0.8006181461559035
betaine,54.0,0.5382032155487533
betatoco,57.0,0.4032809295967191
biochana,55.0,0.49095069690035364
caffeine,25.0,0.1504353769799994
calcium,48.0,0.8569645457517311
calories,60.0,0.28993432197093527
carbo,59.0,0.3251805402835151
cholest,56.0,0.4460162263365925
choline,54.0,0.5382032155487533
clac9t11,59.0,0.3251805402835151
clat10c12,59.0,0.3251805402835151
copper,48.0,0.8569645457517311
coumest,28.0,0.22681208951231835
cystine,55.0,0.49095069690035364
D_CHEESE,42.0,0.8569645457517311
D_MILK,57.0,0.4032809295967191
D_TOT_SOYM,54.0,0.5382032155487533
D_TOTAL,54.0,0.5382032155487533
D_YOGURT,44.5,1.0
daidzein,62.0,0.22681208951231835
delttoco,69.0,0.07958631757258759
DISCFAT_OIL,50.0,0.7453416149068323
DISCFAT_SOL,54.0,0.5382032155487533
erythr,33.0,0.3907709383938951
F_CITMLB,44.0,0.9712621474635205
F_NJ_CITMLB,46.0,0.9712621474635205
F_NJ_OTHER,44.0,0.9712621474635205
F_NJ_TOTAL,43.0,0.9138458795209368
F_OTHER,48.0,0.8569645457517311
F_TOTAL,43.0,0.9138458795209368
fat,54.0,0.5382032155487533
fiber,47.0,0.9138458795209368
fibh2o,44.0,0.9712621474635205
fibinso,50.0,0.7453416149068323
fol_deqv,48.0,0.8569645457517311
fol_nat,49.0,0.8006181461559035
fol_syn,43.0,0.9138458795209368
formontn,55.5,0.45583384123687576
fructose,62.0,0.22681208951231835
FULLFATDAIRY,60.0,0.28993432197093527
G_NWHL,54.0,0.5382032155487533
G_TOTAL,55.0,0.49095069690035364
G_WHL,51.0,0.6911349520045171
galactos,39.0,0.6911349520045171
gammtoco,62.0,0.22681208951231835
genistn,68.0,0.09432672590567327
GLAC,67.0,0.11090968528039466
GLTC,65.0,0.1504353769799994
glucose,62.0,0.22681208951231835
glutamic,54.0,0.5382032155487533
glycine,55.0,0.49095069690035364
glycitn,72.0,0.04570715325864067
grams,23.0,0.11090968528039466
histidin,56.0,0.4460162263365925
inositol,46.0,0.9712621474635205
iron,50.0,0.7453416149068323
isoleuc,57.0,0.4032809295967191
isomalt,45.0,1.0
joules,60.0,0.28993432197093527
lactitol,45.0,1.0
lactose,57.0,0.4032809295967191
LEGUMES,54.0,0.5253478600836377
leucine,56.0,0.4460162263365925
LineGi,57.0,0.4032809295967191
lutzeax,33.0,0.4032809295967191
lycopene,34.0,0.4460162263365925
lysine,57.0,0.4032809295967191
M_EGG,41.0,0.8006181461559035
M_FISH_HI,59.0,0.3083755846416465
M_FISH_LO,45.0,1.0
M_FRANK,36.5,0.5508865666995402
M_MEAT,70.0,0.06668846028113762
M_MPF,55.0,0.49095069690035364
M_NUTSD,45.0,1.0
M_ORGAN,37.5,0.3725739450593073
M_POULT,46.0,0.9712621474635205
M_SOY,64.0,0.16781788654430518
magnes,49.0,0.8006181461559035
maltitol,45.0,1.0
maltose,47.0,0.9138458795209368
mangan,50.0,0.7453416149068323
mannitol,41.0,0.8006181461559035
methhis3,56.0,0.4460162263365925
methion,56.0,0.4460162263365925
mfa141,62.0,0.22681208951231835
mfa161,56.0,0.4460162263365925
mfa181,56.0,0.4460162263365925
mfa201,58.0,0.3630419923326102
mfa221,43.0,0.9138458795209368
mfatot,56.0,0.4460162263365925
natoco,46.0,0.9712621474635205
nccglbr,65.0,0.1504353769799994
nccglgr,65.0,0.1504353769799994
niacin,50.0,0.7453416149068323
niacineq,54.0,0.5382032155487533
nitrogen,57.0,0.4032809295967191
omega3,58.0,0.3630419923326102
oxalic,42.0,0.8569645457517311
oxalicm,40.0,0.7453416149068323
pantothe,46.0,0.9712621474635205
pectins,47.0,0.9138458795209368
pfa182,52.0,0.638473654491961
pfa183,59.0,0.3251805402835151
pfa183n3,60.0,0.28993432197093527
pfa184,60.5,0.26331646299755285
pfa204,57.0,0.4032809295967191
pfa205,53.0,0.587357722369164
pfa225,60.0,0.28993432197093527
pfa226,55.0,0.49095069690035364
pfatot,53.0,0.587357722369164
phenylal,55.0,0.49095069690035364
phosphor,53.0,0.587357722369164
phytic,58.0,0.3630419923326102
pinitol,56.0,0.43362079888715965
potass,48.0,0.8569645457517311
proline,52.0,0.638473654491961
protanim,54.0,0.5382032155487533
protein,56.0,0.4460162263365925
protveg,61.0,0.2570655888733692
retinol,51.0,0.6911349520045171
rgrain,55.0,0.49095069690035364
ribofla,48.0,0.8569645457517311
sacchar,45.0,1.0
satoco,47.5,0.8804373007532689
selenium,50.0,0.7453416149068323
serine,56.0,0.4460162263365925
sfa100,60.0,0.28993432197093527
sfa120,60.0,0.28993432197093527
sfa140,57.0,0.4032809295967191
sfa160,56.0,0.4460162263365925
sfa170,59.0,0.3251805402835151
sfa180,57.0,0.4032809295967191
sfa200,50.0,0.7453416149068323
sfa220,45.0,1.0
sfa40,57.0,0.4032809295967191
sfa60,61.0,0.2570655888733692
sfa80,60.0,0.28993432197093527
sfatot,56.0,0.4460162263365925
sodium,49.0,0.8006181461559035
solidfat,58.0,0.3630419923326102
sorbitol,41.0,0.8006181461559035
starch,59.0,0.3251805402835151
sucpoly,43.0,0.8849324108590286
sucrlose,45.0,1.0
sucrose,49.0,0.8006181461559035
tagatose,48.0,0.8569645457517311
tfa161t,58.0,0.3630419923326102
tfa181t,59.0,0.3251805402835151
tfa182t,54.0,0.5382032155487533
tgrain,57.0,0.4032809295967191
thiamin,54.0,0.5382032155487533
threonin,57.0,0.4032809295967191
totaltfa,56.0,0.4460162263365925
totcla,58.0,0.3630419923326102
totfolat,48.0,0.8569645457517311
totsugar,60.0,0.28993432197093527
tryptoph,55.0,0.49095069690035364
tyrosine,54.0,0.5382032155487533
V_DRKGR,31.0,0.3251805402835151
V_ORANGE,48.0,0.8569645457517311
V_OTHER,41.0,0.8006181461559035
V_POTATO,57.0,0.4032809295967191
V_STARCY,39.0,0.6817713936629468
V_TOMATO,44.0,0.9712621474635205
V_TOTAL,47.0,0.9138458795209368
valine,56.0,0.4460162263365925
vita_iu,40.0,0.7453416149068323
vita_rae,44.0,0.9712621474635205
vita_re,42.0,0.8569645457517311
vitb12,51.0,0.6911349520045171
vitb6,52.0,0.638473654491961
vitc,41.0,0.8006181461559035
vitd,54.0,0.5382032155487533
vitd_iu,54.0,0.5382032155487533
vitd2,55.0,0.4785643279333174
vitd3,54.0,0.5382032155487533
vite_iu,43.0,0.9138458795209368
vitk,41.0,0.8006181461559035
water,19.0,0.055395405509821985
wgrain,52.0,0.638473654491961
xylitol,35.0,0.49095069690035364
zinc,50.0,0.7453416149068323
