function	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:1.1.1.81	715.75	118.25	858.0	1369.0	1248.73	1482.75	2175.2200000000003	579.17	98.0	46.75	34.75	3354.25	3392.08	3450.67	1630.75	4683.75	2698.75	2927.11	3733.67	2001.34	2228.29	5591.169999999999	922.4	1013.25	905.25	1879.48	3382.18	1275.75	1553.25	2850.96
EC:1.1.1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.83	31.75	41.25	429.0	669.0	626.74	1419.0	1083.36	561.17	56.0	29.75	2.75	3262.75	3382.08	3434.67	1624.75	1877.75	891.55	546.84	1420.12	538.84	659.59	2715.15	459.0	348.5	348.05	795.26	1819.09	720.75	864.25	1230.34
EC:1.1.1.85	8341.59	3284.55	1494.88	2131.5	2352.02	4182.64	3935.9	1737.65	1756.9899999999998	545.86	16022.85	5986.29	5535.280000000001	3890.5	4345.42	3911.9	3167.92	3530.6400000000003	6330.700000000001	3628.18	2173.28	4059.86	1662.56	1672.2800000000002	1164.6799999999998	6201.780000000001	10751.490000000002	4866.9	4136.5	7547.71
EC:1.1.1.86	6612.59	2309.55	1443.88	1866.5	2117.0199999999995	4171.64	3915.9	1616.65	1011.99	475.86	15808.85	5849.29	5551.280000000001	3890.5	4345.42	3906.57	3173.92	3574.6400000000003	6324.700000000001	3618.18	2170.95	4065.69	1662.56	1677.2800000000002	1158.6799999999998	6145.780000000001	10614.240000000002	4839.9	4137.67	7681.54
EC:1.1.1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	27.0	20.0	0.0	34.5
EC:1.1.1.88	36729.0	38020.13	30398.8	27370.0	23833.87	29620.8	27138.37	32568.07	31929.800000000003	38657.87	5887.9400000000005	18733.6	12792.6	11679.0	21146.0	20394.4	43204.62	26575.73	24360.33	31825.56	30756.67	46633.66	29528.3	3068.38	24431.0	3013.5600000000004	6507.6	3790.65	7951.82	5218.97
EC:1.1.1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	15.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	48.67	123.5	0.0	0.0	9.17
EC:1.1.1.90	141.0	128.0	417.0	83.0	228.0	101.0	131.0	123.0	155.0	170.0	0.0	86.0	28.0	0.0	22.0	100.0	237.0	890.0	117.0	1385.0	148.0	316.0	225.0	66.5	140.0	340.79	634.1700000000001	269.75	190.0	291.17
EC:1.1.1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	41.25	0.0	0.0	0.0
EC:1.1.1.93	31.75	41.25	429.0	669.0	626.74	1419.0	1083.36	561.17	56.0	29.75	2.75	3262.75	3382.08	3434.67	1624.75	1877.75	891.55	546.84	1420.12	538.84	659.59	2715.15	459.0	348.5	348.05	795.26	1819.09	720.75	864.25	1230.34
EC:1.1.1.94	44634.59	41319.21	31579.88	29120.5	25651.36	33553.64	30995.74	34326.990000000005	33730.99	39358.2	21528.53	23290.79	17012.08	15270.5	23613.42	23943.57	46215.34	29999.370000000003	30251.03	35142.74	32608.95	50279.52	30925.36	4556.61	25621.68	9061.34	16962.010000000002	7825.049999999999	11520.9	13039.02
EC:1.1.1.95	20949.59	10274.88	5108.88	6288.0	4942.16	8948.64	9432.66	3866.32	4920.99	3828.53	20386.19	6838.54	6251.280000000001	4211.5	4444.42	8174.9	4825.92	4725.64	7943.17	4360.18	4901.11	12168.96	2238.96	1846.1	1716.6799999999998	8823.62	14844.05	6115.33	5271.09	10701.69
EC:1.1.2.3	46.59	171.75	576.8299999999999	809.5	1374.07	1511.59	1112.36	895.5	267.34000000000003	323.41	8.58	3308.5	3413.91	3434.67	1701.75	1793.17	2263.7200000000003	2718.68	4594.9400000000005	2744.01	1142.28	3378.24	847.0600000000001	890.9099999999999	621.38	1141.0	2682.09	1255.81	1184.26	1454.29
EC:1.1.2.4	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	24.0	2.0	0.0	661.33	607.0	926.0	581.0	580.0	620.0	74.0	36.0	202.0	123.0	467.3	753.0	304.5	164.0	495.33
EC:1.1.2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.2.8	24.0	44.0	14.0	0.0	70.0	80.0	18.0	36.0	74.0	34.0	0.0	19.0	0.0	0.0	0.0	3309.0	1434.0	1045.67	2196.5	850.17	934.17	424.0	802.0	644.0	656.0	668.3	1146.5	514.5	856.0	1524.0
EC:1.1.3.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.3.15	31.75	52.25	27.0	4.0	47.75	1422.0	26.84	595.17	126.0	61.75	6.25	3448.58	3380.88	3446.67	1631.75	2405.08	1373.75	1495.17	1878.31	1092.98	1170.1699999999998	292.16	515.0	568.8199999999999	512.25	1989.13	3521.41	1209.58	1139.12	2546.46
EC:1.1.3.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	41.25	0.0	0.0	16.0
EC:1.1.3.21	610.0	87.13	15.8	88.0	32.870000000000005	26.8	13.87	58.07	126.8	308.87	371.94000000000005	1525.6	1328.8	414.0	1851.0	277.0	78.0	106.0	90.33	112.0	103.0	92.83	212.5	203.0	102.0	259.66	638.55	851.0	666.42	164.54
EC:1.1.3.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	10.67	6.0	5.0	0.0	4.67
EC:1.1.3.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
EC:1.1.3.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.33	16.0	32.0	0.0	0.0	2.33	0.0	0.0	9.0	0.0	124.0	153.0	81.0	29.0	81.0
EC:1.1.3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	3.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.3.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	46.0	28.0	7.0	23.0
EC:1.1.3.6	12.0	22.0	7.0	0.0	35.0	40.0	9.0	18.0	37.0	17.0	0.0	6.0	0.0	0.0	0.0	1614.0	706.8	526.67	1092.5	419.17	481.5	212.0	397.0	313.0	342.8	346.0	564.25	212.0	401.0	734.0
EC:1.1.3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	33.0	13.0	0.0	7.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	24.0
EC:1.1.3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.5.2	31.75	41.25	425.0	669.0	626.74	1428.75	1087.03	561.17	59.0	29.75	2.75	3220.75	3396.08	3434.67	1654.75	2249.75	1310.35	1475.0600000000002	1808.28	999.6699999999998	1082.62	2799.0199999999995	459.4	492.25	468.85	779.1800000000001	2038.18	674.58	865.92	1221.62
EC:1.1.5.3	37541.02	37307.0	31277.49	29865.5	28108.700000000004	34202.020000000004	31926.61	34436.92	31457.02	36462.23	14932.5	31320.48	25994.320000000003	25205.17	28023.01	22483.520000000004	48856.81	33105.56	38284.62	38362.94	31544.37	58686.990000000005	31484.580000000005	5400.3	25997.29	6870.08	15701.85	7781.88	11776.48	10305.67
EC:1.1.5.4	199.75	150.25	1792.0	2532.0	2973.73	2179.75	2311.2200000000003	579.17	132.0	47.5	203.75	3355.75	3395.58	3456.67	1704.75	3506.75	1644.05	1171.4399999999998	3708.09	1605.59	1147.04	6259.379999999999	868.9	737.5	669.05	1922.51	3945.26	1373.92	1658.25	2899.38
EC:1.1.5.6	39.5	38.5	836.0	1338.0	1183.48	2777.5	2148.7200000000003	1086.34	38.0	25.5	5.5	6431.5	6748.16	6869.34	3249.5	11.5	25.5	25.0	351.74	20.5	43.0	5016.799999999999	27.4	7.0	6.5	432.34	1910.01	532.5	680.0	436.84
