pathway	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
CENTFERM-PWY	306.6756580609224	336.9430601534588	291.0812720234151	151.74972339462056	78.61875941944903	818.6539568917182	1310.8807280106566	157.2118682376177	321.32037510205595	107.66926117241977	372.2548756750688	541.5429192128579	384.7939054805402	4.632798563559844	40.43577140196852	161.44284904904467	118.40432464721142	137.6421736969141	98.55231615726628	120.96857320172384	118.71802876180764	50.85213244999239	62.98339130446096	91.03374306697252	23.704707807705446	2473.8138749930504	3945.0660803591727	1555.3960360217484	1241.4718229476691	3099.73269121376
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.83650860053255	9.61130420707463	0.0	52.16735447773582	0.0	17.758647699706756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.839679049251378
COA-PWY	46007.42543293607	42694.82342745359	32816.50583823885	30159.88470808329	26574.55848488384	34653.7016208004	32085.928936288325	35568.012735731085	34874.79187013447	40615.4077842064	21597.5827298521	23954.45530922184	17477.365963021744	15267.499803529912	24401.303597214293	24615.49611736561	47984.73853608737	31276.962261657296	31130.550358512843	36648.09286343542	33794.57200565365	52107.46063960031	32117.57211891132	4623.421511158175	26589.11427469689	9077.119280441364	17080.036973968272	7945.368235469942	11513.723867926532	13177.665158564012
COBALSYN-PWY	5673.5900008794	2276.011911614712	1007.9624712996656	1192.5395412574558	767.0821771059332	3139.626016890351	2874.959776328487	1119.4673124782369	887.2044491276268	123.29029575959142	2181.0609865999395	4192.505373101905	4012.5938464890687	3614.643201530291	1727.1812722955272	2509.293211576545	1460.9196328681655	1660.6626211533085	2025.9240748140032	1119.0481258431737	1325.2085375054546	2933.02274375488	574.3368505234367	696.8032915359461	633.1364132403115	4336.025207280579	7407.843549573688	2757.011235512927	2398.187065935433	5343.165833723549
CODH-PWY	1325.8928206259147	0.0	0.0	63.93071015326319	0.0	11.997951055846537	0.0	0.0	0.0	0.0	0.0	12.99566886111037	0.7999761388124585	0.0	0.0	0.0	0.0	0.0	19.992085245076428	0.0	0.0	0.0	0.0	0.0	0.0	41.66628749672843	108.5148136804492	39.86264679623652	3.9991462085791096	188.09739443174288
COLANSYN-PWY	4537.739194585255	2681.116701334314	1234.6699203902715	1586.4371857954534	316.81607324078414	4868.655822518352	4311.038109155953	2584.237387409464	1155.7783391876858	191.51457209264169	12155.037670899805	7004.8333842766615	6875.530884238379	6368.082132746731	3999.168203624198	5245.343874601911	3579.293170861106	3841.1728149641294	5156.889015451319	2924.098475706408	2381.481708912927	1413.209659571242	1582.5609402902946	1389.694799082798	1430.0829672891	3729.6006466635886	7288.316991079956	2849.316095828273	3277.5098610546133	5299.567102077201
COMPLETE-ARO-PWY	12201.526772885958	5179.149830638948	2618.8981738358707	3597.465224085814	3625.218240945804	6466.928807141269	5976.0388699396	2880.71731084174	2816.486195359972	1305.768789261676	16777.92328682813	7894.438489354383	7223.837106317571	5312.631866418185	5580.560372217137	6407.121518733607	4673.68689268708	4743.180345633171	8576.400168145386	4814.421540552953	3522.276683005243	6759.787104550352	2603.202335448709	2260.970244004393	2026.515175119596	8037.2782174434	14211.134019457835	6127.691767915474	5612.600436450964	10319.687741552012
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6546927382138	17.138769125109697	0.0	79.54314168030267	37.693621399484655	0.0	0.0
DAPLYSINESYN-PWY	18816.33802230548	11249.888480257743	7630.51019116027	8309.119460700926	7789.976097208712	14262.41999253122	9604.172208944206	10417.016990877752	10841.758719217429	11779.194266325148	14440.075173392925	13277.642361704726	11177.095132560216	9324.160267371466	11664.491436328748	15964.48597800385	14931.135355658853	12864.462422165156	18878.513926842967	12959.38366334447	12681.530309274984	14524.851554315455	7751.65121557046	3629.482389366947	6060.79126573452	7597.704226717216	13885.48080576092	6203.925065943447	7638.121701282608	11004.186277672952
DENITRIFICATION-PWY	12.0	22.0	7.0	0.0	35.0	40.0	9.158642462509864	18.0	37.0	17.181494661921707	0.0	4.745247148288974	4.5299455535390205	0.0	0.0	1635.4572000843152	711.0249913790385	516.835512329312	1109.345075744152	418.8184238885552	499.7540692413547	223.83150480707155	398.4831880448319	353.3125107206977	334.0	472.6085433198231	712.7137215949543	385.4262425205407	478.7090038513276	903.1424613994304
DENOVOPURINE2-PWY	48992.67199155788	45857.26220288892	35424.24621712609	32775.88885166647	28934.740996358563	37259.74591501162	34873.01410954259	38464.84837152143	37553.20183497137	43781.72263027562	20878.969370555023	26442.371140470168	19437.17153328213	17744.817342862883	26840.268799221525	26344.774074270383	52166.6308777412	33581.24477529452	34218.869814831174	39226.3854684906	36498.61611139999	57332.44323217622	34939.7941009109	5053.659553577899	28972.48525277579	9421.884422194214	17979.208637184103	8614.710919159314	13043.457683719496	13927.7031133888
DHGLUCONATE-PYR-CAT-PWY	13.705035971223024	24.264705882352946	11.539953452288596	0.0	56.23184560937728	49.65247610773241	14.917729270986126	22.321008715328727	40.64041701573117	18.59375	0.0	0.0	0.0	0.0	0.0	1840.764575333458	870.6151497180648	674.6138227181884	1299.0901992434744	544.9674601134544	609.8535058939376	336.3412941332523	427.70264785621066	366.8617649913185	372.179100242642	391.1144574505037	604.1118018288247	267.25967201412243	457.609566334254	765.626280522605
DTDPRHAMSYN-PWY	15528.187313609458	7758.046178418122	3787.650518120757	4160.222523417287	2328.6107859641547	7536.887286398141	6979.804750877524	4036.915812033211	4612.660973931403	4476.987125340424	17806.675172219137	3977.294550132077	3602.722223354446	1157.918046359985	3059.567906353416	9392.549550738491	4202.3254088288095	3144.44569523922	4534.150648870113	2301.81419163799	5300.98306810455	5427.845929907954	2132.1777267281886	1424.36989018626	1753.362706549474	5823.532324610992	10001.748520146317	4253.834151472663	4241.376614079026	7921.861864855326
ECASYN-PWY	91.27537287276286	292.1558675519409	874.124850911915	1217.8818053487516	1964.8858165145507	2293.5186863785307	1707.889557475423	1399.634220290147	437.15723651527367	497.7518419971472	14.821958692107597	4513.618916123812	4569.60409612445	4476.545145144524	2440.0667059657926	1477.6100441825124	2266.9334467210188	2364.8508748354734	5295.928572627871	2898.1554104047755	700.5947444582026	4696.789164492387	1158.7151805349954	875.956922188621	678.8545233292506	794.7797530653613	2405.047491402592	1410.7053159371787	1438.2131579292643	1098.351259219485
ENTBACSYN-PWY	104.79130959924986	100.85818541748225	3525.8927357203	5305.407698495152	4790.039497171226	5856.6264492124965	7890.022360555689	2531.066837334753	99.80834488579316	67.42128767447703	14.638125532161029	10261.837608972406	9348.598351911538	9099.354892245416	6277.279196337823	151.39306971409815	161.01778374741025	80.15632161804037	1681.7903361372987	120.67031777714176	228.8085393861763	16942.25823164667	76.24616368503744	218.0122200179506	53.22124685895373	1130.517274079691	4523.228164371354	1502.4319241552698	1704.6353099240148	1107.0300435490635
