pathway	111A	115A	119A	120A	124A	129A	134A	135A	137A	111B	115B	119B	120B	124B	129B	134B	135B	137B
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	6.0	0.0	0.0	7.0	8.585365853658535	9.353846153846154	0.0	0.0	77.22789507065619	20.999833169774288	49.56762978500262	41.43	46.67828283988332	29.81294964028777	50.02435902020382	65.82857142857144	26.690265486725664
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	320.5194422452772	434.0637900464124	265.08267833602497	116.96029422212192	248.36777117560808	1066.5603468345291	704.4144244126476	374.4978697843735	908.0399646989734	136.35041026552554	244.7591841855835	37.35386517112889	282.419648106099	329.8798444436987	416.460517533036	469.39619849830825	537.1165770243466	201.4286547906428
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY	33100.47635382608	37924.85438430981	33607.81557582349	29575.37168238744	35286.787940406226	34129.17109438237	32883.277289352605	31181.437481460627	41288.38550291491	56582.83644712526	84147.72398520075	75935.29272677908	85012.56851942622	42730.03109923356	77911.79219042041	102429.415012802	79555.6937105133	75150.62260331039
COBALSYN-PWY	4875.316813179648	8245.988986688908	7887.752912598271	6887.640332023771	5499.458949573172	19664.672893254254	12402.009723100571	8593.834297732727	17895.382858487377	434.7052259117877	2879.138731165176	243.97409413082792	2234.6647200548623	710.407446071795	6824.080323364521	3047.263343807374	5445.632997379384	1630.5137382538026
CODH-PWY	241.4780146117346	618.606610904898	127.52476409323432	447.4343972192668	1304.4673842033103	576.9344399977506	418.18848140464735	583.5480942206938	780.2821961282133	37.98499768939482	173.79944911435285	0.0	81.95748156828513	171.59811719317787	305.3502178431529	311.50243558354333	950.660511780725	237.57344516152745
COLANSYN-PWY	12240.480148062592	9839.654462485176	13293.512807766252	13486.639521250472	13224.28653545354	12043.870517432626	9828.414971301454	11315.376046312873	17483.24943705574	2065.4041072521977	11826.08219834176	2972.1083688020767	7241.6485680736305	5551.792968405226	10210.457857626136	4209.318893844714	11507.73051459738	6055.429076712558
COMPLETE-ARO-PWY	14914.782390374568	16854.32146251534	17319.113866968954	17896.134929715696	15764.4038273373	31280.100816859624	21186.02679790037	18084.521091070943	32001.73520328653	25254.513369980803	25303.636724299125	16002.876630082688	23699.950119189663	16862.20387054133	22537.380782096134	9090.038035441015	25040.36141340291	25321.054694057573
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAPLYSINESYN-PWY	13629.928270053122	19860.972960128955	16924.962188745805	18481.792739589804	17589.310345645183	31057.78609419972	23302.7728382749	19672.1172291044	32513.839459490508	48716.62707254646	43554.94728843115	43307.26721862759	59031.59819626385	34712.00113859052	40537.93895155356	22629.077729769524	50450.20705733624	56884.02835352344
DENITRIFICATION-PWY	0.0	6.0	0.0	0.0	7.0	8.0	8.0	0.0	0.0	77.70910855848568	16.0	23.0	41.0	40.140350877192986	28.69421487603306	45.0	64.36852207293666	26.0
DENOVOPURINE2-PWY	34851.19041806071	38549.707873696185	31499.780967521187	24422.85506500322	33350.34268494314	24437.92402783265	30951.085941028185	24291.589611376003	36255.62113323632	58183.624323002005	86285.9596178949	70804.34747579283	70064.67580666232	32870.06508422547	60489.696390063305	107287.696276676	56524.70635934224	72155.39291164569
DHGLUCONATE-PYR-CAT-PWY	0.0	7.268041237113403	0.0	0.0	8.111979166666668	9.462365591397848	10.62377874643018	0.0	0.0	76.63980451719262	20.921378159182687	23.860038749212155	41.2782365223994	46.382378952023	31.017964071856284	51.43061975304003	66.97674418604652	27.03358913070826
DTDPRHAMSYN-PWY	14085.431630473242	14045.339058744215	16763.041993774055	16768.791791249565	16299.408051652526	24877.79871232904	18585.785353220857	15040.47300687987	26339.399688986487	4911.97032836129	13685.931700057192	2568.1086787498243	15197.819312682375	6316.773231341883	16230.29764527814	7254.150990851432	14679.682248559771	5894.688539627719
ECASYN-PWY	0.0	88.02920765173475	37.92136745665031	0.0	36.71105820994197	10.688886881254293	9.074727666313544	0.0	9.61558831861565	3.884574710965617	23.018912261098897	53.42101659835474	1.942979867509639	1.2971684698450254	0.0	20.436714684452934	0.0	4.321733926981129
ENTBACSYN-PWY	0.0	216.37993828982025	83.65399096959726	0.0	81.06121659889614	26.61322585622876	22.637221965941645	0.0	23.97237124854509	20.866865231884624	79.27256197443081	318.9041622524905	5.332596050594705	3.9992689265774506	0.0	59.07062728574586	0.0	13.326928814509948
FAO-PWY	174.740716955521	229.01330678871923	137.1786544582391	67.87404752796695	129.9623772877628	637.6037746460142	374.9287615951132	190.7006702867153	541.4862379937026	240.3300268131156	135.44783490080238	176.10334345090092	126.63706856864984	176.09373181440165	226.73874926774533	207.0078785264596	245.41879780648225	89.51982389433142
FASYN-ELONG-PWY	37353.05891936636	42578.76433006434	35875.566012453455	28301.08346965262	36293.27706600318	26265.15286494028	30634.252326684506	27046.60350558672	39424.44113473975	76562.9502000732	101338.01262452082	80889.7586087529	70547.99962094432	41429.18217868179	61124.384415170265	111600.12140128767	60753.7356667954	85722.0701896776
