#NAME	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B
Weissella	0	0	0	12762.0784	0	0	0	0	0	0	0	0	0	3646.308113	0	9115.770283	3646.308113	0	5469.46217	0	1823.154057	0	3646.308113	1823.154057	0	0	3646.308113	25524.15679	0	1823.154057	0	0	165907.0191	268003.6463	0	204193.2543	82041.93254	67456.70009	193254.33	142206.0164	82041.93254	149498.6326	463081.1304	72926.16226	213309.0246	144029.1705	129443.938	151321.7867	47402.00547	231540.5652
Ruminococcaceae_UCG_005	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	9115.770283	0	0	0	0	0	373746.5816	337283.5005	7292.616226	206016.4084	211485.8706	63810.39198	171376.4813	145852.3245	193254.33	300820.4193	173199.6354	142206.0164	357338.1951	185961.7138	206016.4084	246125.7976	47402.00547	346399.2707
Curvibacter	5469.46217	7292.616226	5469.46217	36463.08113	1823.154057	3646.308113	0	7292.616226	9115.770283	9115.770283	43755.69736	45578.85141	10938.92434	12762.0784	71103.0082	1823.154057	30993.61896	12762.0784	52871.46764	12762.0784	10938.92434	1823.154057	5469.46217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter	0	0	0	0	0	0	0	0	0	0	0	9115.770283	0	0	0	1823.154057	0	7292.616226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105742.9353	131267.0921	0	98450.31905	67456.70009	36463.08113	52871.46764	60164.08387	118505.0137	111212.3974	178669.0975	21877.84868	89334.54877	85688.24066	63810.39198	83865.0866	14585.23245	184138.5597
Akkermansia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32816.77302	76572.47037	0	14585.23245	23701.00273	0	0	12762.0784	5469.46217	16408.38651	20054.69462	0	32816.77302	9115.770283	9115.770283	18231.54057	0	29170.4649
Corynebacterium_1	0	21877.84868	0	1823.154057	0	3646.308113	0	0	0	0	5469.46217	18231.54057	9115.770283	0	5469.46217	7292.616226	7292.616226	0	14585.23245	5469.46217	5469.46217	20054.69462	0	3646.308113	0	5469.46217	0	25524.15679	0	0	14585.23245	0	258887.876	94804.01094	0	266180.4923	67456.70009	52871.46764	187784.8678	136736.5542	12762.0784	238833.1814	103919.7812	27347.31085	98450.31905	56517.77575	29170.4649	63810.39198	38286.23519	169553.3273
Solibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	0	0	58340.92981	118505.0137	0	111212.3974	74749.31632	29170.4649	72926.16226	52871.46764	29170.4649	58340.92981	123974.4758	38286.23519	49225.15953	67456.70009	32816.77302	116681.8596	10938.92434	61987.23792
Acinetobacter	3646.308113	0	3646.308113	0	0	0	0	0	0	0	5469.46217	14585.23245	5469.46217	0	9115.770283	0	0	0	0	0	0	0	1823.154057	0	3646.308113	0	1823.154057	0	0	1823.154057	0	0	240656.3355	315405.6518	0	185961.7138	129443.938	82041.93254	58340.92981	138559.7083	114858.7056	180492.2516	337283.5005	58340.92981	145852.3245	147675.4786	127620.784	226071.103	52871.46764	238833.1814
Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	1823.154057	0	0	0	0	0	5469.46217	0	1823.154057	0	0	54694.6217	100273.4731	0	74749.31632	85688.24066	27347.31085	41932.5433	27347.31085	25524.15679	43755.69736	96627.165	16408.38651	60164.08387	34639.92707	32816.77302	45578.85141	14585.23245	74749.31632
Gemella	1823.154057	14585.23245	0	14585.23245	3646.308113	5469.46217	0	3646.308113	3646.308113	3646.308113	0	20054.69462	1823.154057	12762.0784	20054.69462	21877.84868	43755.69736	20054.69462	98450.31905	0	3646.308113	21877.84868	16408.38651	5469.46217	0	0	0	0	0	40109.38924	94804.01094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
